ID,Parameter_ID,Name,Description
1A-1,1A,Small,Small
1A-2,1A,Moderately small,Moderately small
1A-3,1A,Average,Average
1A-4,1A,Moderately large,Moderately large
1A-5,1A,Large,Large
2A-1,2A,Small (2-4),Small vowel inventory (2-4)
2A-2,2A,Average (5-6),Average vowel inventory (5-6)
2A-3,2A,Large (7-14),Large vowel inventory (7-14)
3A-1,3A,Low,Low
3A-2,3A,Moderately low,Moderately low
3A-3,3A,Average,Average
3A-4,3A,Moderately high,Moderately high
3A-5,3A,High,High
4A-1,4A,No voicing constrast,No voicing contrast
4A-2,4A,In plosives alone,Voicing contrast in plosives alone
4A-3,4A,In fricatives alone,Voicing contrast in fricatives alone
4A-4,4A,In both plosives and fricatives,Voicing contrast in both plosives and fricatives
5A-1,5A,Other,Other
5A-2,5A,None missing in /p t k b d g/,/p t k b d g/
5A-3,5A,Missing /p/,Missing /p/
5A-4,5A,Missing /g/,Missing /g/
5A-5,5A,Both missing,Both missing
6A-1,6A,None,No uvulars
6A-2,6A,Uvular stops only,Uvular stops only
6A-3,6A,Uvular continuants only,Uvular continuants only
6A-4,6A,Uvular stops and continuants,Uvular stops and continuants
7A-1,7A,No glottalized consonants,No glottalized consonants
7A-2,7A,Ejectives only,Ejectives only
7A-3,7A,Implosives only,Implosives only
7A-4,7A,Glottalized resonants only,Glottalized resonants only
7A-5,7A,Ejectives and implosives,Ejectives and implosives
7A-6,7A,Ejectives and glottalized resonants,Ejectives and glottalized resonants
7A-7,7A,Implosives and glottalized resonants,Implosives and glottalized resonants
7A-8,7A,"Ejectives, implosives, and glottalized resonants","Ejectives, implosives and glottalized resonants"
8A-1,8A,No laterals,No laterals
8A-2,8A,"/l/, no obstruent laterals","/l/, no obstruent laterals"
8A-3,8A,"Laterals, but no /l/, no obstruent laterals","Laterals, but no /l/, no obstruent lateral"
8A-4,8A,/l/ and lateral obstruent,/l/ and lateral obstruents
8A-5,8A,"No /l/, but lateral obstruents","No /l/, but lateral obstruents"
9A-1,9A,Initial velar nasal,"Velar nasal, also initially"
9A-2,9A,No initial velar nasal,"Velar nasal, but not initially"
9A-3,9A,No velar nasal,No velar nasal
10A-1,10A,Contrast present,Contrastive nasal vowels present
10A-2,10A,Contrast absent,Contrastive nasal vowels absent
10B-1,10B,no nasal vs. oral vowel contrast,no nasal vs. oral vowel contrast
10B-2,10B,two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading,two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading
10B-3,10B,two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) with nasal spreading,two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) with nasal spreading
10B-4,10B,four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ vs. /Vː/) without nasal spreading,four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ vs. /Vː/) without nasal spreading
10B-5,10B,four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ v /Vː/) with nasal spreading,four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ v /Vː/) with nasal spreading
11A-1,11A,None,None
11A-2,11A,High and mid,High and mid
11A-3,11A,High only,High only
11A-4,11A,Mid only,Mid only
12A-1,12A,Simple,Simple syllable structure
12A-2,12A,Moderately complex,Moderately complex syllable structure
12A-3,12A,Complex,Complex syllable structure
13A-1,13A,No tones,No tones
13A-2,13A,Simple tone system,Simple tone system
13A-3,13A,Complex tone system,Complex tone system
14A-1,14A,No fixed stress,No fixed stress (mostly weight-sensitive stress)
14A-2,14A,Initial,Initial: stress is on the first syllable
14A-3,14A,Second,Second: stress is on the second syllable
14A-4,14A,Third,Third: stress is on the third syllable
14A-5,14A,Antepenultimate,Antepenultimate: stress is on the antepenultimate (third from the right) syllable
14A-6,14A,Penultimate,Penultimate: stress is on the penultimate (second from the right) syllable
14A-7,14A,Ultimate,Ultimate: stress is on the ultimate (last) syllable
15A-1,15A,Left-edge: First or second,Left-edge: Stress is on the first or second syllable
15A-2,15A,Left-oriented: One of the first three,Left-oriented: The third syllable is involved
15A-3,15A,Right-edge: Ultimate or penultimate,Right-edge: Stress on ultimate or penultimate syllable
15A-4,15A,Right-oriented: One of the last three,Right-oriented: The antepenultimate is involved
15A-5,15A,Unbounded: Stress can be anywhere,Unbounded: Stress can be anywhere in the word
15A-6,15A,Combined: Right-edge and unbounded,Combined: Both Right-edge and unbounded
15A-7,15A,Not predictable,Not predictable
15A-8,15A,Fixed stress (no weight-sensitivity),Fixed stress (no weight-sensitivity)
16A-1,16A,No weight,"No weight, or weight factor unknown"
16A-2,16A,Long vowel,Long vowel: long vowels are heavy for stress
16A-3,16A,Coda consonant,Coda consonant: closed syllables are heavy for stress
16A-4,16A,Long vowel or coda consonant,Long vowel + Coda: long vowels or closed syllables
16A-5,16A,Prominence,Prominence: other factors are heavy for stress
16A-6,16A,Lexical stress,"Lexical: lexical stress, diacritic weight"
16A-7,16A,Combined,Combined: two of the above factors determine weight
17A-1,17A,Trochaic,Trochaic: left-hand syllable in the foot is strong
17A-2,17A,Iambic,Iambic: right-hand syllable in the foot is strong
17A-3,17A,Dual: both trochaic and iambic,Dual: system has both trochaic and iambic feet
17A-4,17A,Undetermined,Undetermined: no clear foot type
17A-5,17A,No rhythmic stress,Absent: no rhythmic stress
18A-1,18A,All present,All present
18A-2,18A,No bilabials,No bilabials
18A-3,18A,No fricatives,No fricatives
18A-4,18A,No nasals,No nasals
18A-5,18A,No bilabials or nasals,No bilabials or nasals
18A-6,18A,No fricatives or nasals,No fricatives or nasals
19A-1,19A,None,None
19A-2,19A,Clicks,Clicks
19A-3,19A,Labial-velars,Labial-velars
19A-4,19A,Pharyngeals,Pharyngeals
19A-5,19A,'Th' sounds,'Th' sounds
19A-6,19A,"Clicks, pharyngeals, and 'th'","Clicks, pharyngeals, and 'th'"
19A-7,19A,"Pharyngeals and ""th""",Pharyngeals and 'th'
20A-1,20A,Exclusively concatenative,Exclusively concatenative
20A-2,20A,Exclusively isolating,Exclusively isolating
20A-3,20A,Exclusively tonal,Exclusively tonal
20A-4,20A,Tonal/isolating,Tonal/isolating
20A-5,20A,Tonal/concatenative,Tonal/concatenative
20A-6,20A,Ablaut/concatenative,Ablaut/concatenative
20A-7,20A,Isolating/concatenative,Isolating/concatenative
21A-1,21A,Monoexponential case,Monoexponential case
21A-2,21A,Case + number,Case + number
21A-3,21A,Case + referentiality,Case + referentiality
21A-4,21A,Case + TAM,Case + TAM (tense-aspect-mood)
21A-5,21A,No case,No case
21B-1,21B,monoexponential TAM,monoexponential TAM
21B-2,21B,TAM+agreement,TAM+agreement
21B-3,21B,TAM+agreement+diathesis,TAM+agreement+diathesis
21B-4,21B,TAM+agreement+construct,TAM+agreement+construct
21B-5,21B,TAM+polarity,TAM+polarity
21B-6,21B,no TAM,no TAM
22A-1,22A,0-1 category per word,0-1 category per word
22A-2,22A,2-3 categories per word,2-3 categories per word
22A-3,22A,4-5 categories per word,4-5 categories per word
22A-4,22A,6-7 categories per word,6-7 categories per word
22A-5,22A,8-9 categories per word,8-9 categories per word
22A-6,22A,10-11 categories per word,10-11 categories per word
22A-7,22A,12-13 categories per word,12-13 categories per word
23A-1,23A,Head marking,P is head-marked
23A-2,23A,Dependent marking,P is dependent-marked
23A-3,23A,Double marking,P is double-marked
23A-4,23A,No marking,P has no marking
23A-5,23A,Other,Other types
24A-1,24A,Head marking,Possessor is head-marked
24A-2,24A,Dependent marking,Possessor is dependent-marked
24A-3,24A,Double marking,Possessor is double-marked
24A-4,24A,No marking,Possessor has no marking
24A-5,24A,Other,Other types
25A-1,25A,Head-marking,Consistently head-marking
25A-2,25A,Dependent-marking,Consistently dependent-marking
