Language_ID,Name,Provider
xoo,!Xóõ,ethnologue
arx,'Are'are,ethnologue
apk gan,A-Pucikwar,ethnologue
aar,Aari,ethnologue
aba,Abau,ethnologue
abz,Abaza,ethnologue
abd,Abidji,ethnologue
abi,Abipon,ethnologue
abk,Abkhaz,ethnologue
abw,"Abnaki, Western",ethnologue
abv,Abui,ethnologue
abu,Abun,ethnologue
ace,Aceh,ethnologue
acg,Achagua,ethnologue
acn,Achang,ethnologue
aci,Achi,ethnologue
acl,Acholi,ethnologue
acu,Achuar-Shiwiar,ethnologue
acm,Achumawi,ethnologue
ach,Aché,ethnologue
ada,Adamorobe Sign Language,ethnologue
adg,Adang,ethnologue
boj boq gal mil,Adi,ethnologue
adi,Adioukrou,ethnologue
adn,Adnyamathanha,ethnologue
adt ady ash,Adyghe,ethnologue
adz,Adzera,ethnologue
awi,Aekyom,ethnologue
ktk,Afade,ethnologue
qaf,Afar,ethnologue
afr,Afrikaans,ethnologue
aga,Agarabi,ethnologue
agh,Aghem,ethnologue
ahu,Aghu,ethnologue
agl,Aghul,ethnologue
dca,"Agta, Casiguran Dumagat",ethnologue
agc,"Agta, Central Cagayan",ethnologue
agd,"Agta, Dupaninan",ethnologue
agr,Aguaruna,ethnologue
aht,Ahtena,ethnologue
aik,Aikanã,ethnologue
ain ayn,Ainu,ethnologue
aiz,"Aizi, Aproumu",ethnologue
aja ajg,Aja,ethnologue
aji,Ajië,ethnologue
cax,Ajyíninka Apurucayali,ethnologue
akb,Aka-Bea,ethnologue
akc,Aka-Cari,ethnologue
akk,Aka-Kede,ethnologue
akn,Akan,ethnologue
kwe,Akateko,ethnologue
akw,Akawaio,ethnologue
akh,Akha,ethnologue
axv,Akhvakh,ethnologue
abm,Alabama,ethnologue
agw,Alagwa,ethnologue
ala,Alamblak,ethnologue
alw,Alawa,ethnologue
alb,"Albanian, Gheg",ethnologue
alb,"Albanian, Tosk",ethnologue
gah,Alekano,ethnologue
aea ale,Aleut,ethnologue
alg,Algonquin,ethnologue
ald,Alladian,ethnologue
als,Alsea,ethnologue
aso,"Altai, Southern",ethnologue
aln,Alune,ethnologue
alu,Alutor,ethnologue
aly,Alyawarr,ethnologue
amm nyi,Ama,ethnologue
amc,Amahuaca,ethnologue
amn,Amanab,ethnologue
ama,Amara,ethnologue
amk,Amarakaeri,ethnologue
aml,"Ambae, East",ethnologue
amq,Ambai,ethnologue
sea,"Ambrym, Southeast",ethnologue
amb,Ambulas,ethnologue
ame,Amele,ethnologue
asl,American Sign Language,ethnologue
amh,Amharic,ethnologue
emm,Ami,ethnologue
ami,Amis,ethnologue
amo,Amo,ethnologue
amz,"Amuzgo, Guerrero",ethnologue
amx,Anamgura,ethnologue
nbd,Andaandi,ethnologue
anx,Andi,ethnologue
adk,Andoque,ethnologue
anj,Aneityum,ethnologue
ane,Anem,ethnologue
ant,Angaataha,ethnologue
ago,Angolar,ethnologue
ang,Angor,ethnologue
ann,Anindilyakwa,ethnologue
any,Anuak,ethnologue
anu,Anufo,ethnologue
ayi,Anyin,ethnologue
kbo,Ap Ma,ethnologue
apj,"Apache, Jicarilla",ethnologue
apc,"Apache, Mescalero-Chiricahua",ethnologue
apw,"Apache, Western",ethnologue
apl,Apalaí,ethnologue
apt,Apatani,ethnologue
api,Apinayé,ethnologue
apu,Apurinã,ethnologue
abn,Arabana,ethnologue
arb,Arabela,ethnologue
abh,"Arabic, Baharna Spoken",ethnologue
abb arn,"Arabic, Chadian Spoken",ethnologue
ako,"Arabic, Cypriot Spoken",ethnologue
aeg,"Arabic, Egyptian Spoken",ethnologue
arg arj,"Arabic, Gulf Spoken",ethnologue
arh,"Arabic, Hijazi Spoken",ethnologue
ael,"Arabic, Libyan Spoken",ethnologue
arq,"Arabic, Mesopotamian Spoken",ethnologue
amr,"Arabic, Moroccan Spoken",ethnologue
abe anl arl asy,"Arabic, North Levantine Spoken",ethnologue
