ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subfamily,Genus,ISO_codes
apk,A-Pucikwar,,12.166666666666666,92.83333333333333,apuc1241,apq,Great Andamanese,,Great Andamanese,apq
aci,Achí,,15.166666666666666,-90.5,,,Mayan,,Mayan,acc acr
ash,Adyghe (Shapsugh),,45,38.75,adyg1241,ady,Northwest Caucasian,,Northwest Caucasian,ady
aka,Aka,,2.6666666666666665,16.25,yaka1272,axk,Niger-Congo,Benue-Congo,Bantoid,axk
akb,Aka-Biada,,11.666666666666666,92.5,akab1249,abj,Great Andamanese,,Great Andamanese,abj
akc,Aka-Cari,,13.5,93,akac1240,aci,Great Andamanese,,Great Andamanese,aci
akk,Aka-Kede,,12.75,92.75,akak1252,akx,Great Andamanese,,Great Andamanese,akx
awk,Akwa,,10.083333333333334,6.333333333333333,pong1250,png,Niger-Congo,Benue-Congo,Bantoid,png
alx,Alas,,3.6666666666666665,97.83333333333333,bata1292,btz,Austronesian,Western Malayo-Polynesian,Sundic,btz
alt,Alsatian,,48.5,7.5,swis1247,gsw,Indo-European,,Germanic,gsw
anx,Andi,,42.75,46.25,andi1255,ani,Nakh-Daghestanian,Daghestanian,Avar-Andic-Tsezic,ani
abh,Arabic (Bahrain),,26,50.5,baha1259,abv,Afro-Asiatic,,Semitic,abv
arn,Arabic (Borno Nigerian),,8.583333333333334,12.416666666666666,chad1249,shu,Afro-Asiatic,,Semitic,shu
akm,Arakanese (Marma),,21.5,92.5,arak1256,mhv,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,mhv
ard,Arandai,,-2.0833333333333335,133,aran1237,jbj,Marind,,South Bird's Head,jbj
arz,Armenian (Iranian),,32.66666666666667,51.66666666666667,nucl1235,hye,Indo-European,,Armenian,hye
arr,Arrernte,,-24,134,,,Australian,,Pama-Nyungan,aer are
ast,Asturian,,43.25,-6,astu1245,ast,Indo-European,,Romance,ast
aul,Aulua,,-16.333333333333332,167.66666666666666,aulu1238,aul,Austronesian,Eastern Malayo-Polynesian,Oceanic,aul
auy,Auyana,,-6.5,145.75,awiy1238,auy,Trans-New Guinea,,Eastern Highlands,auy
avt,Avatime,,6.833333333333333,0.41666666666666663,avat1244,avn,Niger-Congo,,Kwa,avn
ayn,Aynu,,39.5,76,ainu1251,aib,Altaic,,Turkic,aib
bdg,Badaga,,11.666666666666666,76.75,bada1257,bfq,Dravidian,,Southern Dravidian,bfq
bgi,Bagri,,29.583333333333332,74.33333333333333,bagr1243,bgq,Indo-European,,Indic,bgq
bah,Bahuana,,-0.5,-62.5,,,Arawakan,,Arawakan,
bjs,Bajau (Semporna),,4.5,118.5,sout2918,ssb,Austronesian,Western Malayo-Polynesian,Sama-Bajaw,ssb
bmn,Bamun,,5.5,10.916666666666666,bamu1253,bax,Niger-Congo,Benue-Congo,Bantoid,bax
ban,Bana,,10.416666666666666,13.583333333333334,bana1305,bcw,Afro-Asiatic,Chadic,Biu-Mandara,bcw
bnd,Bandi,,8.083333333333334,-10.25,band1352,bza,Niger-Congo,Mande,Western Mande,bza
brl,Baragaunle,,28.833333333333332,83.83333333333333,lowa1242,loy,Sino-Tibetan,Tibeto-Burman,Bodic,loy
bat,Batak,,10.25,119.08333333333333,bata1301,bya,Austronesian,Western Malayo-Polynesian,Meso-Philippine,bya
bth,Bathari,,18,56,bath1244,bhm,Afro-Asiatic,,Semitic,bhm
bou,Berber (Wargla),,31.916666666666668,5.333333333333333,taga1278,oua,Afro-Asiatic,,Berber,oua
bfd,Biafada,,11.416666666666666,-15.166666666666666,biaf1240,bif,Niger-Congo,Atlantic,Northern Atlantic,bif
bit,Biatah,,1.25,110,biat1246,bth,Austronesian,Western Malayo-Polynesian,Borneo,bth
biq,Bilaan,,6,125.33333333333333,,,Austronesian,Western Malayo-Polynesian,South Mindanao,bps smk
bos,Bosnian,,43,18,bosn1245,bos,Indo-European,,Slavic,bos
bru,Bru (Eastern),,17.333333333333332,106,east2332,bru,Austro-Asiatic,Mon-Khmer,Katuic,bru
buy,Buli (in Ghana),,10.5,-1.25,buli1254,bwu,Niger-Congo,,Gur,bwu
