ID,Name,Description,Chapter_ID
1A,Consonant Inventories,,1
2A,Vowel Quality Inventories,,2
3A,Consonant-Vowel Ratio,,3
4A,Voicing in Plosives and Fricatives,,4
5A,Voicing and Gaps in Plosive Systems,,5
6A,Uvular Consonants,,6
7A,Glottalized Consonants,,7
8A,Lateral Consonants,,8
9A,The Velar Nasal,,9
10A,Vowel Nasalization,,10
10B,Nasal Vowels in West Africa,,10
11A,Front Rounded Vowels,,11
12A,Syllable Structure,,12
13A,Tone,,13
14A,Fixed Stress Locations,,14
15A,Weight-Sensitive Stress,,15
16A,Weight Factors in Weight-Sensitive Stress Systems,,16
17A,Rhythm Types,,17
18A,Absence of Common Consonants,,18
19A,Presence of Uncommon Consonants,,19
20A,Fusion of Selected Inflectional Formatives,,20
21A,Exponence of Selected Inflectional Formatives,,21
21B,Exponence of Tense-Aspect-Mood Inflection,,21
22A,Inflectional Synthesis of the Verb,,22
23A,Locus of Marking in the Clause,,23
24A,Locus of Marking in Possessive Noun Phrases,,24
25A,Locus of Marking: Whole-language Typology,,25
25B,Zero Marking of A and P Arguments,,25
26A,Prefixing vs. Suffixing in Inflectional Morphology,,26
27A,Reduplication,,27
28A,Case Syncretism,,28
29A,Syncretism in Verbal Person/Number Marking,,29
30A,Number of Genders,,30
31A,Sex-based and Non-sex-based Gender Systems,,31
32A,Systems of Gender Assignment,,32
33A,Coding of Nominal Plurality,,33
34A,Occurrence of Nominal Plurality,,34
35A,Plurality in Independent Personal Pronouns,,35
36A,The Associative Plural,,36
37A,Definite Articles,,37
38A,Indefinite Articles,,38
39A,Inclusive/Exclusive Distinction in Independent Pronouns,,39
39B,Inclusive/Exclusive Forms in Pama-Nyungan,,39
40A,Inclusive/Exclusive Distinction in Verbal Inflection,,40
41A,Distance Contrasts in Demonstratives,,41
42A,Pronominal and Adnominal Demonstratives,,42
43A,Third Person Pronouns and Demonstratives,,43
44A,Gender Distinctions in Independent Personal Pronouns,,44
45A,Politeness Distinctions in Pronouns,,45
