ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Example_ID
81A-aab,aab,81A,2,81A-2,,Nekitel-1985[94],
82A-aab,aab,82A,1,82A-1,,Nekitel-1985[94],
83A-aab,aab,83A,2,83A-2,,Nekitel-1985[94],
87A-aab,aab,87A,2,87A-2,,Nekitel-1985[95],
88A-aab,aab,88A,2,88A-2,,Nekitel-1985[95],
89A-aab,aab,89A,2,89A-2,,Nekitel-1985[95],
92A-aab,aab,92A,2,92A-2,,Nekitel-1985[99],
93A-aab,aab,93A,2,93A-2,,Nekitel-1985[100],
97A-aab,aab,97A,4,97A-4,,,
112A-aab,aab,112A,2,112A-2,,Nekitel-1985[passim],
116A-aab,aab,116A,1,116A-1,,Nekitel-1985[99],
143A-aab,aab,143A,2,143A-2,,Nekitel-1985[101],
143E-aab,aab,143E,4,143E-4,,Nekitel-1985[101],
143F-aab,aab,143F,1,143F-1,,Nekitel-1985[101],
143G-aab,aab,143G,4,143G-4,,Nekitel-1985[101],
144A-aab,aab,144A,4,144A-4,,Nekitel-1985[101],
144B-aab,aab,144B,6,144B-6,,Nekitel-1985[101],
144D-aab,aab,144D,4,144D-4,,Nekitel-1985[101],
144H-aab,aab,144H,4,144H-4,,Nekitel-1985[101],
144I-aab,aab,144I,8,144I-8,,Nekitel-1985[101],
144J-aab,aab,144J,7,144J-7,,Nekitel-1985[101],
144K-aab,aab,144K,1,144K-1,,Nekitel-1985[101],
26A-aar,aar,26A,2,26A-2,,Hayward-1990a[passim],
33A-aar,aar,33A,9,33A-9,,Hayward-1990a[444],
37A-aar,aar,37A,3,37A-3,,Hayward-1990a[443],
38A-aar,aar,38A,4,38A-4,,Hayward-1990a[passim],
51A-aar,aar,51A,1,51A-1,,Hayward-1990a[443],
57A-aar,aar,57A,4,57A-4,,Hayward-1990a[passim],
69A-aar,aar,69A,2,69A-2,,Hayward-1990a[471-478],
82A-aar,aar,82A,1,82A-1,,Hayward-1990a[passim],
83A-aar,aar,83A,1,83A-1,,Hayward-1990a[passim],
85A-aar,aar,85A,1,85A-1,,Hayward-1990a[489-490],
86A-aar,aar,86A,1,86A-1,,Hayward-1990a[446],
87A-aar,aar,87A,2,87A-2,,Hayward-1990a[460-461],
88A-aar,aar,88A,2,88A-2,,Hayward-1990a[458],
89A-aar,aar,89A,2,89A-2,,Hayward-1990a[462],
90A-aar,aar,90A,1,90A-1,,Hayward-1990a[485],
90C-aar,aar,90C,1,90C-1,,Hayward-1990a[485],
92A-aar,aar,92A,6,92A-6,,Hayward-1990a[478-479],
95A-aar,aar,95A,1,95A-1,,,
96A-aar,aar,96A,2,96A-2,,,
97A-aar,aar,97A,2,97A-2,,,
101A-aar,aar,101A,2,101A-2,,Hayward-1990a[474],
112A-aar,aar,112A,1,112A-1,,Hayward-1990a[471-476],
116A-aar,aar,116A,2,116A-2,,Hayward-1990a[478-479],
143A-aar,aar,143A,4,143A-4,,Hayward-1990a[471-476],
143E-aar,aar,143E,4,143E-4,,Hayward-1990a[471-476],
143F-aar,aar,143F,2,143F-2,,Hayward-1990a[471-476],
143G-aar,aar,143G,4,143G-4,,Hayward-1990a[471-476],
144A-aar,aar,144A,20,144A-20,,Hayward-1990a[471-476],
144L-aar,aar,144L,21,144L-21,,Hayward-1990a[471-476],
81A-aba,aba,81A,1,81A-1,,Bailey-1975[passim],
82A-aba,aba,82A,1,82A-1,,Bailey-1975[passim],
83A-aba,aba,83A,1,83A-1,,Bailey-1975[passim],
85A-aba,aba,85A,1,85A-1,,Bailey-1975[passim],
86A-aba,aba,86A,1,86A-1,,Bailey-1975[passim],
88A-aba,aba,88A,2,88A-2,,Bailey-1975[passim],
89A-aba,aba,89A,2,89A-2,,Bailey-1975[passim],
95A-aba,aba,95A,1,95A-1,,,
143A-aba,aba,143A,2,143A-2,,Bailey-1975[passim],
143E-aba,aba,143E,4,143E-4,,Bailey-1975[passim],
143F-aba,aba,143F,1,143F-1,,Bailey-1975[passim],
143G-aba,aba,143G,4,143G-4,,Bailey-1975[passim],
144A-aba,aba,144A,8,144A-8,,Bailey-1975[passim],
144B-aba,aba,144B,4,144B-4,,Bailey-1975[passim],
144L-aba,aba,144L,4,144L-4,,Bailey-1975[passim],
144P-aba,aba,144P,4,144P-4,,Bailey-1975[passim],
144Q-aba,aba,144Q,4,144Q-4,,Bailey-1975[passim],
144R-aba,aba,144R,8,144R-8,,Bailey-1975[passim],
144S-aba,aba,144S,1,144S-1,,Bailey-1975[passim],
70A-abb,abb,70A,1,70A-1,,Abu-Absi-1995[32-33],
71A-abb,abb,71A,3,71A-3,,Abu-Absi-1995[33],
132A-abd,abd,132A,2,132A-2,,,
133A-abd,abd,133A,2,133A-2,,,
134A-abd,abd,134A,2,134A-2,,,
135A-abd,abd,135A,2,135A-2,,,
14A-abe,abe,14A,1,14A-1,,Abdul-Karim-1979,
15A-abe,abe,15A,4,15A-4,,Abdul-Karim-1979,
16A-abe,abe,16A,4,16A-4,,Abdul-Karim-1979,
17A-abe,abe,17A,1,17A-1,,Abdul-Karim-1979,
142A-abh,abh,142A,1,142A-1,,,
1A-abi,abi,1A,2,1A-2,,Najlis-1966,
2A-abi,abi,2A,2,2A-2,,Najlis-1966,
3A-abi,abi,3A,3,3A-3,,Najlis-1966,
4A-abi,abi,4A,1,4A-1,,Najlis-1966,
5A-abi,abi,5A,1,5A-1,,Najlis-1966,
6A-abi,abi,6A,4,6A-4,,Najlis-1966,
7A-abi,abi,7A,1,7A-1,,Najlis-1966,
