chapter_id,olacsubject_id
141,writing_systems
1,phonetics
2,phonetics
3,phonetics
4,phonetics
5,phonetics
6,phonetics
7,phonetics
8,phonetics
9,phonetics
10,phonetics
11,phonetics
12,phonetics
13,phonetics
14,phonetics
15,phonetics
16,phonetics
17,phonetics
18,phonetics
19,phonetics
30,syntax
31,syntax
32,syntax
33,syntax
34,syntax
35,syntax
36,syntax
37,syntax
38,syntax
39,syntax
40,syntax
41,syntax
42,syntax
43,syntax
44,syntax
45,syntax
46,syntax
47,syntax
48,syntax
49,syntax
50,syntax
51,syntax
52,syntax
53,syntax
54,syntax
55,syntax
56,syntax
57,syntax
58,syntax
59,syntax
60,syntax
61,syntax
62,syntax
63,syntax
64,syntax
65,syntax
66,syntax
67,syntax
68,syntax
69,syntax
70,syntax
71,syntax
72,syntax
73,syntax
74,syntax
75,syntax
76,syntax
77,syntax
78,syntax
79,syntax
80,syntax
81,syntax
82,syntax
83,syntax
84,syntax
85,syntax
86,syntax
87,syntax
88,syntax
89,syntax
90,syntax
91,syntax
92,syntax
93,syntax
94,syntax
95,syntax
96,syntax
97,syntax
98,syntax
99,syntax
100,syntax
101,syntax
102,syntax
103,syntax
104,syntax
105,syntax
106,syntax
107,syntax
108,syntax
109,syntax
110,syntax
111,syntax
112,syntax
113,syntax
114,syntax
115,syntax
116,syntax
117,syntax
118,syntax
119,syntax
120,syntax
121,syntax
122,syntax
123,syntax
124,syntax
125,syntax
126,syntax
127,syntax
128,syntax
129,syntax
130,syntax
131,syntax
132,syntax
133,syntax
134,syntax
135,syntax
136,syntax
137,syntax
138,syntax
139,syntax
140,syntax
143,syntax
144,syntax
1,phonology
2,phonology
3,phonology
4,phonology
5,phonology
6,phonology
7,phonology
8,phonology
9,phonology
10,phonology
11,phonology
12,phonology
13,phonology
14,phonology
15,phonology
16,phonology
17,phonology
18,phonology
19,phonology
20,morphology
21,morphology
22,morphology
23,morphology
24,morphology
25,morphology
26,morphology
27,morphology
28,morphology
29,morphology
1,typology
2,typology
3,typology
4,typology
5,typology
6,typology
7,typology
8,typology
9,typology
10,typology
11,typology
12,typology
13,typology
14,typology
15,typology
16,typology
17,typology
18,typology
19,typology
20,typology
21,typology
22,typology
23,typology
24,typology
25,typology
26,typology
27,typology
28,typology
29,typology
30,typology
31,typology
32,typology
33,typology
34,typology
35,typology
36,typology
37,typology
38,typology
39,typology
40,typology
41,typology
42,typology
43,typology
44,typology
45,typology
46,typology
47,typology
48,typology
49,typology
50,typology
51,typology
52,typology
53,typology
54,typology
55,typology
56,typology
57,typology
58,typology
59,typology
60,typology
61,typology
62,typology
63,typology
64,typology
65,typology
66,typology
67,typology
68,typology
69,typology
70,typology
71,typology
72,typology
73,typology
74,typology
75,typology
76,typology
77,typology
78,typology
79,typology
80,typology
81,typology
82,typology
83,typology
84,typology
85,typology
86,typology
87,typology
88,typology
89,typology
90,typology
91,typology
92,typology
93,typology
94,typology
95,typology
96,typology
97,typology
98,typology
99,typology
100,typology
101,typology
102,typology
103,typology
104,typology
105,typology
106,typology
107,typology
108,typology
109,typology
110,typology
111,typology
112,typology
113,typology
114,typology
115,typology
116,typology
117,typology
118,typology
119,typology
120,typology
121,typology
122,typology
123,typology
124,typology
125,typology
126,typology
127,typology
128,typology
129,typology
130,typology
131,typology
132,typology
133,typology
134,typology
135,typology
136,typology
137,typology
138,typology
139,typology
140,typology
141,typology
142,typology
143,typology
144,typology
30,semantics
31,semantics
32,semantics
33,semantics
34,semantics
35,semantics
36,semantics
37,semantics
38,semantics
39,semantics
40,semantics
41,semantics
42,semantics
43,semantics
44,semantics
45,semantics
46,semantics
47,semantics
48,semantics
49,semantics
50,semantics
51,semantics
52,semantics
53,semantics
54,semantics
55,semantics
56,semantics
57,semantics
65,semantics
66,semantics
67,semantics
68,semantics
69,semantics
70,semantics
71,semantics
72,semantics
73,semantics
74,semantics
75,semantics
76,semantics
77,semantics
78,semantics
79,semantics
80,semantics
