pk,jsondata,key,value
1,,__Genus_southernphilippines__,__gone__
2,,__Genus_balisasak__,malayosumbawan
3,,__Genus_madurese__,malayosumbawan
4,,__Genus_kayanmurik__,northborneo
5,,__Genus_sulawesi__,__gone__
6,,__Genus_gayo__,northwestsumatrabarrierislands
7,,__Genus_sundanese__,malayosumbawan
8,,__Genus_northernphilippines__,__gone__
9,,__Genus_sumatra__,northwestsumatrabarrierislands
10,,__Genus_malayic__,malayosumbawan
11,,__Genus_mesophilippine__,__gone__
12,,__Genus_northwestmalayopolynesian__,northborneo
13,,__Genus_southmindanao__,bilic
14,,__Genus_arawakan__,__gone__
15,,__Value_121A-bej__,__gone__
16,,__ValueSet_121A-bej__,__gone__
17,,__Value_75A-fni__,__gone__
18,,__ValueSet_75A-fni__,__gone__
19,,__Value_76A-fni__,__gone__
20,,__ValueSet_76A-fni__,__gone__
21,,__Value_74A-fni__,__gone__
22,,__ValueSet_74A-fni__,__gone__
23,,__Value_48A-fni__,__gone__
24,,__ValueSet_48A-fni__,__gone__
25,,__Value_125A-fni__,__gone__
26,,__ValueSet_125A-fni__,__gone__
27,,__Value_127A-fni__,__gone__
28,,__ValueSet_127A-fni__,__gone__
29,,__Value_126A-fni__,__gone__
30,,__ValueSet_126A-fni__,__gone__
31,,__Value_50A-fni__,__gone__
32,,__ValueSet_50A-fni__,__gone__
33,,__Value_49A-fni__,__gone__
34,,__ValueSet_49A-fni__,__gone__
35,,__Value_36A-fni__,__gone__
36,,__ValueSet_36A-fni__,__gone__
37,,__Value_72A-fni__,__gone__
38,,__ValueSet_72A-fni__,__gone__
39,,__Value_58A-fni__,__gone__
40,,__ValueSet_58A-fni__,__gone__
41,,__Value_59A-fni__,__gone__
42,,__ValueSet_59A-fni__,__gone__
43,,__Value_136A-fni__,__gone__
44,,__ValueSet_136A-fni__,__gone__
45,,__Value_137A-fni__,__gone__
46,,__ValueSet_137A-fni__,__gone__
47,,__Value_100A-fni__,__gone__
48,,__ValueSet_100A-fni__,__gone__
49,,__Value_104A-fni__,__gone__
50,,__ValueSet_104A-fni__,__gone__
51,,__Value_44A-fni__,__gone__
52,,__ValueSet_44A-fni__,__gone__
53,,__Value_107A-fni__,__gone__
54,,__ValueSet_107A-fni__,__gone__
55,,__Value_102A-fni__,__gone__
56,,__ValueSet_102A-fni__,__gone__
57,,__Value_103A-fni__,__gone__
58,,__ValueSet_103A-fni__,__gone__
59,,__Value_83A-fni__,__gone__
60,,__ValueSet_83A-fni__,__gone__
61,,__Value_82A-fni__,__gone__
62,,__ValueSet_82A-fni__,__gone__
63,,__Value_81A-fni__,__gone__
64,,__ValueSet_81A-fni__,__gone__
65,,__Value_87A-fni__,__gone__
66,,__ValueSet_87A-fni__,__gone__
67,,__Value_85A-fni__,__gone__
68,,__ValueSet_85A-fni__,__gone__
69,,__Value_37A-fni__,__gone__
70,,__ValueSet_37A-fni__,__gone__
71,,__Value_89A-fni__,__gone__
72,,__ValueSet_89A-fni__,__gone__
73,,__Value_90A-fni__,__gone__
74,,__ValueSet_90A-fni__,__gone__
75,,__Value_51A-fni__,__gone__
76,,__ValueSet_51A-fni__,__gone__
77,,__Value_69A-fni__,__gone__
78,,__ValueSet_69A-fni__,__gone__
79,,__Value_112A-fni__,__gone__
80,,__ValueSet_112A-fni__,__gone__
81,,__Value_93A-fni__,__gone__
82,,__ValueSet_93A-fni__,__gone__
83,,__Value_94A-fni__,__gone__
84,,__ValueSet_94A-fni__,__gone__
85,,__Value_57A-fni__,__gone__
86,,__ValueSet_57A-fni__,__gone__
87,,__Value_26A-fni__,__gone__
88,,__ValueSet_26A-fni__,__gone__
89,,__Value_137B-fni__,__gone__
90,,__ValueSet_137B-fni__,__gone__
91,,__Value_136B-fni__,__gone__
92,,__ValueSet_136B-fni__,__gone__
93,,__Value_58B-fni__,__gone__
94,,__ValueSet_58B-fni__,__gone__
95,,__Value_144J-fni__,__gone__
96,,__ValueSet_144J-fni__,__gone__
97,,__Value_143A-fni__,__gone__
98,,__ValueSet_143A-fni__,__gone__
99,,__Value_144I-fni__,__gone__
100,,__ValueSet_144I-fni__,__gone__
101,,__Value_144D-fni__,__gone__
102,,__ValueSet_144D-fni__,__gone__
103,,__Value_90C-fni__,__gone__
104,,__ValueSet_90C-fni__,__gone__
105,,__Value_143E-fni__,__gone__
106,,__ValueSet_143E-fni__,__gone__
107,,__Value_144H-fni__,__gone__
108,,__ValueSet_144H-fni__,__gone__
109,,__Value_143F-fni__,__gone__
110,,__ValueSet_143F-fni__,__gone__
111,,__Value_144K-fni__,__gone__
