pk,jsondata,polymorphic_type,id,name,description,markup_description,url,email,address,version
1,,base,maddiesoni,Ian Maddieson,,,http://linguistics.berkeley.edu/people/person_detail.php?person=23,,,1
2,,base,andersongds,Gregory D.S. Anderson,,,http://www.livingtongues.org/aboutus.html,,,1
3,,base,hajekj,John Hajek,,,http://www.languages.unimelb.edu.au/about/staff/profiles/hajek.html,,,1
4,,base,goedemansr,Rob Goedemans,,,http://website.leidenuniv.nl/~goedemansrwn/,,,1
5,,base,vanderhulsth,Harry van der Hulst,,,http://www.linguistics.uconn.edu/People/vanderhulst.html,,,1
6,,base,bickelb,Balthasar Bickel,,,http://www.uni-leipzig.de/~bickel/,,,1
7,,base,nicholsj,Johanna Nichols,,,http://socrates.berkeley.edu/~jbn/,,,1
8,,base,dryerms,Matthew S. Dryer,,,http://linguistics.buffalo.edu/people/faculty/dryer/dryer/dryer.htm,,,1
9,,base,rubinoc,Carl Rubino,,,http://iloko.tripod.com/,,,1
10,,base,baermanm,Matthew Baerman,,,http://www.defectiveness.surrey.ac.uk/Baerman/,,,1
11,,base,brownd,Dunstan Brown,,,http://www.surrey.ac.uk/cmc/staff-profiles/brown-dunstan.htm,,,1
12,,base,corbettgg,Greville G. Corbett,,,http://www.surrey.ac.uk/LIS/SMG/gcorbett.htm,,,1
13,,base,haspelmathm,Martin Haspelmath,,,http://www.eva.mpg.de/lingua/staff/haspelmath.php,,,1
14,,base,danielm,Michael Daniel,,,,,,1
15,,base,moravcsike,Edith Moravcsik,,,http://www4.uwm.edu/letsci/linguistics/faculty/moravcsik.cfm,,,1
16,,base,cysouwm,Michael Cysouw,,,http://web.mac.com/cysouw/home/index.html,,,1
17,,base,diesselh,Holger Diessel,,,http://www.personal.uni-jena.de/~x4diho/index.html,,,1
18,,base,bhatdns,D.N.S. Bhat,,,,,,1
19,,base,siewierskaa,Anna Siewierska,,,http://www.ling.lancs.ac.uk/profiles/299/,,,1
20,,base,helmbrechtj,Johannes Helmbrecht,,,http://www-avs.uni-regensburg.de/johannes_helmbrecht.htm,,,1
21,,base,konige,Ekkehard König,,,http://userpages.fu-berlin.de/~koenig/,,,1
22,,base,siemundp,Peter Siemund,,,http://www1.uni-hamburg.de/peter.siemund/,,,1
23,,base,toppers,Stephan Töpper,,,http://www.fu-berlin.de/presse/wir/index.html,,,1
24,,base,bakkerd,Dik Bakker,,,http://home.medewerker.uva.nl/d.bakker/,,,1
25,,base,iggesenoa,Oliver A. Iggesen,,,,,,1
26,,base,stolzt,Thomas Stolz,,,http://www.fb10.uni-bremen.de/homepages/stolz/default.htm,,,1
27,,base,strohc,Cornelia Stroh,,,http://www.fb10.uni-bremen.de/lehrpersonal/stroh.aspx,,,1
28,,base,urdzea,Aina Urdze,,,http://www.fb10.uni-bremen.de/lehrpersonal/urdze.aspx,,,1
29,,base,veselinovaln,Ljuba N. Veselinova,,,http://www.ling.su.se/staff/ljuba/,,,1
30,,base,gild,David Gil,,,http://www.eva.mpg.de/lingua/staff/gil.php,,,1
31,,base,koptjevskajatammm,Maria Koptjevskaja-Tamm,,,http://www.ling.su.se/staff/tamm/,,,1
32,,base,stassenl,Leon Stassen,,,,,,1
33,,base,dahlo,Östen Dahl,,,http://www2.ling.su.se/staff/oesten/index.htm,,,1
34,,base,velupillaiv,Viveka Velupillai,,,http://www.lalitha.de/velupillai/index.html,,,1
35,,base,vanderauweraj,Johan van der Auwera,,,http://webh01.ua.ac.be/vdauwera/,,,1
36,,base,lejeunel,Ludo Lejeune,,,,,,1
37,,base,pappuswamyu,Umarani Pappuswamy,,,,,,1
38,,base,goussevv,Valentin Goussev,,,,,,1
39,,base,dobrushinan,Nina Dobrushina,,,,,,1
40,,base,ammanna,Andreas Ammann,,,,,,1
41,,base,dehaanf,Ferdinand de Haan,,,http://www.u.arizona.edu/~fdehaan/,,,1
42,,base,genslerod,Orin D. Gensler,,,,,,1
43,,base,comrieb,Bernard Comrie,,,http://www.eva.mpg.de/lingua/staff/comrie.php,,,1
44,,base,maslovae,Elena Maslova,,,http://anothersumma.net/,,,1
45,,base,nedjalkovvp,Vladimir P. Nedjalkov,,,,,,1
46,,base,polinskym,Maria Polinsky,,,http://www.fas.harvard.edu/~lingdept/f_polinsky.html,,,1
47,,base,songjj,Jae Jung Song,,,http://www.otago.ac.nz/linguistics/staff/song.html,,,1
48,,base,miestamom,Matti Miestamo,,,http://www.ling.helsinki.fi/~matmies/,,,1
49,,base,kutevat,Tania Kuteva,,,http://www.phil-fak.uni-duesseldorf.de/anglistik3/kuteva/,,,1
50,,base,cristofaros,Sonia Cristofaro,,,http://lettere.unipv.it/diplinguistica/docenti.php?&id=121,,,1
51,,base,brownch,Cecil H. Brown,,,http://www.niu.edu/anthro/faculty_staff/faculty/Brown.shtml,,,1
52,,base,kayp,Paul Kay,,,http://www.icsi.berkeley.edu/~kay/,,,1
53,,base,maffil,Luisa Maffi,,,http://ucjeps.berkeley.edu/Endangered_Lang_Conf/Maffi.html,,,1
54,,base,petersonda,David A. Peterson,,,http://www.dartmouth.edu/~linguist/faculty/peterson.html,,,1
55,,base,zeshanu,Ulrike Zeshan,,,http://www.uclan.ac.uk/schools/iscri/Ulrike_Zeshan.php,,,1
