pk,jsondata,country_pk,language_pk
1,,8,17
2,,8,51
3,,8,67
4,,8,94
5,,8,137
6,,8,177
7,,8,187
8,,8,198
9,,8,278
10,,8,281
11,,8,306
12,,8,325
13,,8,355
14,,8,370
15,,8,419
16,,8,424
17,,8,461
18,,8,484
19,,8,491
20,,8,511
21,,8,537
22,,8,553
23,,8,610
24,,8,671
25,,8,678
27,,8,714
28,,8,716
29,,8,718
30,,8,763
31,,8,770
32,,8,774
33,,8,808
34,,8,809
35,,8,811
36,,8,821
37,,8,823
38,,8,841
39,,8,846
40,,8,859
41,,8,886
42,,8,896
43,,8,906
44,,8,916
45,,8,918
46,,8,949
47,,8,963
48,,8,964
49,,8,966
50,,8,1028
51,,8,1029
52,,8,1041
53,,8,1045
54,,8,1055
55,,8,1076
56,,8,1096
57,,8,1119
58,,8,1128
59,,8,1150
60,,8,1152
61,,8,1162
62,,8,1167
63,,8,1193
64,,8,1206
65,,8,1207
66,,8,1212
67,,8,1215
68,,8,1266
69,,8,1303
70,,8,1319
71,,8,1320
72,,8,1323
73,,8,1334
74,,8,1340
75,,8,1341
76,,8,1344
77,,8,1352
78,,8,1367
79,,8,1378
80,,8,1385
81,,8,1392
82,,8,1393
83,,8,1397
84,,8,1402
85,,8,1414
86,,8,1433
87,,8,1439
88,,8,1448
89,,8,1450
90,,8,1455
91,,8,1467
92,,8,1503
93,,8,1506
94,,8,1507
95,,8,1513
96,,8,1518
97,,8,1533
98,,8,1594
99,,8,1611
100,,8,1628
101,,8,1638
102,,8,1651
103,,8,1658
104,,8,1670
105,,8,1671
106,,8,1684
107,,8,1691
108,,8,1699
109,,8,1703
110,,8,1729
111,,8,1743
112,,8,1749
113,,8,1771
114,,8,1784
115,,8,1839
116,,8,1854
117,,8,1857
118,,8,1860
119,,8,1861
120,,8,1878
121,,8,1879
122,,8,1910
123,,8,1911
124,,8,1923
125,,8,1934
126,,8,1936
127,,8,1939
128,,8,1970
129,,8,1971
130,,8,1972
131,,8,1973
132,,8,1989
133,,8,2014
134,,8,2021
135,,8,2059
136,,8,2082
137,,8,2109
138,,8,2110
139,,8,2122
140,,8,2157
141,,8,2162
142,,8,2164
143,,8,2169
144,,8,2172
145,,8,2174
146,,8,2175
147,,8,2213
148,,8,2237
149,,8,2248
150,,8,2267
151,,8,2271
152,,8,2326
153,,8,2328
154,,8,2349
155,,8,2373
156,,8,2383
157,,8,2386
158,,8,2395
159,,8,2400
160,,8,2434
161,,8,2452
162,,8,2465
163,,8,2481
164,,8,2489
165,,8,2495
166,,8,2498
167,,8,2499
168,,8,2501
169,,126,8
170,,126,13
171,,126,40
172,,126,59
174,,126,84
175,,126,106
176,,126,124
177,,126,156
178,,126,196
179,,126,242
180,,126,279
181,,126,359
182,,126,517
183,,126,523
184,,126,530
185,,126,536
186,,126,690
187,,126,726
188,,126,876
189,,126,917
190,,126,931
191,,126,945
192,,126,954
193,,126,1030
194,,126,1034
195,,126,1114
196,,126,1160
197,,126,1168
198,,126,1171
199,,126,1179
200,,126,1204
201,,126,1238
202,,126,1248
203,,126,1261
204,,126,1279
205,,126,1328
206,,126,1353
207,,126,1384
208,,126,1388
209,,126,1421
210,,126,1452
211,,126,1498
212,,126,1508
213,,126,1608
214,,126,1639
215,,126,1733
216,,126,1756
217,,126,1763
218,,126,1794
219,,126,1796
220,,126,1833
221,,126,1836
222,,126,1865
223,,126,1880
224,,126,1920
225,,126,1979
226,,126,1991
227,,126,1993
228,,126,2049
229,,126,2070
230,,126,2076
231,,126,2111
232,,126,2124
233,,126,2129
234,,126,2173
235,,126,2202
236,,126,2220
237,,126,2227
238,,126,2240
239,,126,2242
240,,126,2270
241,,126,2278
242,,126,2279
243,,126,2300
244,,126,2335
245,,126,2410
246,,126,2500
247,,126,2503
248,,126,2531
249,,17,1573
250,,17,2277
251,,17,2371
252,,67,2
254,,67,201
255,,67,230
256,,67,346
258,,67,665
259,,67,738
260,,67,803
261,,67,948
262,,67,1060
263,,67,1109
264,,67,1173
265,,67,1307
266,,67,1356
267,,67,1716
268,,67,1995
269,,67,2252
270,,67,2325
271,,67,2487
272,,48,292
273,,48,513
274,,48,919
275,,106,168
276,,106,375
277,,23,63
278,,23,64
280,,23,192
282,,23,315
283,,23,326
284,,23,378
285,,23,382
286,,23,548
287,,23,699
288,,23,1219
289,,23,1229
290,,23,1273
291,,23,1331
292,,23,1348
293,,23,1429
294,,23,1512
295,,23,1572
296,,23,1864
297,,23,1977
298,,23,2556
299,,23,2466
300,,172,1374
301,,88,1584
302,,88,2258
303,,110,42
304,,110,44
305,,110,174
306,,110,181
307,,110,182
308,,110,230
309,,110,231
310,,110,262
311,,110,264
312,,110,299
313,,110,301
314,,110,303
315,,110,304
316,,110,307
317,,110,309
318,,110,310
319,,110,338
320,,110,397
321,,110,398
322,,110,399
323,,110,400
324,,110,401
325,,110,402
326,,110,408
327,,110,409
328,,110,410
329,,110,411
330,,110,428
331,,110,434
332,,110,471
333,,110,472
334,,110,473
335,,110,476
337,,110,478
339,,110,493
340,,110,494
341,,110,495
342,,110,496
343,,110,558
344,,110,562
345,,110,564
346,,110,569
347,,110,579
349,,110,745
350,,110,778
351,,110,789
352,,110,825
353,,110,852
354,,110,889
355,,110,898
356,,110,942
357,,110,967
358,,110,977
359,,110,1000
360,,110,1010
361,,110,1059
362,,110,1065
363,,110,1107
364,,110,1191
365,,110,1223
366,,110,1265
367,,110,1280
368,,110,1326
369,,110,1365
370,,110,1408
371,,110,1435
372,,110,1463
373,,110,1495
374,,110,1516
375,,110,1535
376,,110,1540
377,,110,1557
378,,110,1629
379,,110,1644
380,,110,1655
381,,110,1656
382,,110,1679
383,,110,1717
384,,110,1731
385,,110,1744
386,,110,1755
387,,110,1768
388,,110,1769
389,,110,1774
390,,110,1785
391,,110,1800
392,,110,1820
393,,110,1841
394,,110,1845
395,,110,1847
396,,110,1849
397,,110,1853
398,,110,1890
399,,110,1903
400,,110,1915
401,,110,1925
402,,110,1965
403,,110,1988
404,,110,2015
405,,110,2020
406,,110,2031
407,,110,2032
408,,110,2039
409,,110,2064
410,,110,2073
411,,110,2092
412,,110,2102
413,,110,2104
414,,110,2133
415,,110,2181
416,,110,2183
417,,110,2196
418,,110,2261
419,,110,2283
420,,110,2327
421,,110,2347
422,,110,2354
423,,110,2409
424,,110,2414
425,,110,2417
426,,110,2429
427,,110,2483
428,,110,2515
429,,131,107
430,,131,344
431,,131,353
432,,131,1018
433,,131,1161
434,,131,1178
435,,131,1325
436,,131,1376
437,,131,1390
438,,131,1456
439,,131,1529
440,,131,1586
441,,131,1663
442,,131,1666
443,,131,1969
444,,131,2303
445,,131,2330
446,,131,2346
447,,131,2412
448,,131,2507
449,,69,34
450,,69,93
451,,69,167
452,,69,387
453,,69,1158
454,,91,563
455,,91,2478
456,,154,1584
457,,154,2364
458,,50,2235
459,,115,596
460,,115,794
461,,115,843
462,,115,1040
463,,115,1056
464,,115,1091
465,,115,1255
466,,115,1698
467,,115,1950
468,,31,22
470,,31,136
471,,31,179
472,,31,213
473,,31,263
474,,31,273
475,,31,305
476,,31,328
477,,31,601
478,,31,614
480,,31,744
481,,31,758
482,,31,781
483,,31,812
484,,31,836
485,,31,877
486,,31,985
487,,31,994
488,,31,998
489,,31,999
490,,31,1073
491,,31,1115
492,,31,1133
493,,31,1138
494,,31,1151
495,,31,1159
496,,31,1166
497,,31,1209
498,,31,1231
500,,31,1250
501,,31,1262
502,,31,1277
504,,31,1289
505,,31,1313
506,,31,1396
507,,31,1418
508,,31,1457
509,,31,1520
510,,31,1525
511,,31,1526
512,,31,1619
513,,31,1692
514,,31,1712
515,,31,1741
516,,31,1782
517,,31,1832
518,,31,1834
519,,31,1872
520,,31,1952
521,,31,2043
522,,31,2055
523,,31,2080
524,,31,2127
525,,31,2148
526,,31,2182
527,,31,2206
528,,31,2260
529,,31,2358
530,,31,2366
531,,31,2445
532,,31,2543
533,,74,330
534,,74,2329
535,,180,141
536,,180,244
537,,180,490
538,,180,697
539,,180,2160
540,,149,748
541,,120,56
542,,120,416
543,,120,528
544,,120,1680
545,,120,2345
546,,58,1362
547,,58,2342
548,,58,2390
549,,164,68
550,,164,71
551,,164,74
552,,164,76
553,,164,83
554,,164,588
555,,164,589
556,,164,1269
557,,164,1327
558,,164,2351
559,,164,2539
560,,164,2550
561,,100,1056
562,,100,1950
563,,165,570
564,,165,1584
565,,165,2036
566,,104,2138
567,,37,88
568,,37,504
569,,63,321
570,,63,534
571,,63,2519
572,,45,739
573,,45,950
574,,45,1069
575,,45,1098
576,,45,1445
577,,45,1851
578,,45,1944
579,,45,2057
580,,45,2095
581,,45,2306
582,,45,2467
583,,45,2476
584,,85,1037
585,,85,1978
586,,55,92
587,,55,618
588,,55,1199
589,,55,2678
590,,44,2255
591,,151,1201
592,,28,4
593,,28,288
594,,28,621
595,,28,865
596,,28,1099
597,,28,1312
598,,28,1364
599,,28,1547
600,,28,1563
601,,28,1634
602,,28,1643
603,,28,1682
604,,28,1706
605,,28,1959
606,,28,2099
607,,28,2185
608,,28,2276
609,,28,2461
610,,177,1627
611,,93,1963
612,,7,2391
613,,103,66
614,,103,249
615,,103,315
616,,103,867
617,,103,1038
618,,103,1129
619,,103,1229
620,,103,1331
621,,103,1902
622,,103,2556
623,,103,2352
624,,103,2375
625,,103,2432
626,,103,2466
627,,103,2530
628,,12,14
