pk,jsondata,id,name,description,markup_description
1,,afroasiatic,Afro-Asiatic,,
2,,ainu,Ainu,,
3,,alacalufan,Alacalufan,,
4,,algic,Algic,,
5,,altaic,Altaic,,
6,,greatandamanese,Great Andamanese,,
7,,andoke,Andoke,,
8,,anem,Anêm,,
9,,arauan,Arauan,,
10,,araucanian,Araucanian,,
11,,arawakan,Arawakan,,
12,,atakapa,Atakapa,,
14,,austroasiatic,Austro-Asiatic,,
15,,austronesian,Austronesian,,
16,,awinpare,Awin-Pare,,
17,,aymaran,Aymaran,,
18,,taulil,Taulil,,
19,,barbacoan,Barbacoan,,
20,,basque,Basque,,
21,,beothuk,Beothuk,,
22,,betoi,Betoi,,
23,,border,Border,,
24,,bosavi,Bosavi,,
25,,bulakariver,Bulaka River,,
26,,burushaski,Burushaski,,
27,,cacuanukak,Cacua-Nukak,,
28,,caddoan,Caddoan,,
29,,cahuapanan,Cahuapanan,,
30,,camsa,Camsá,,
31,,candoshi,Candoshi,,
32,,cariban,Cariban,,
33,,cayuvava,Cayuvava,,
34,,chapacurawanham,Chapacura-Wanham,,
35,,chibchan,Chibchan,,
36,,chimakuan,Chimakuan,,
37,,chimuan,Chimúan,,
38,,chiquito,Chiquito,,
39,,chitimacha,Chitimacha,,
40,,choco,Choco,,
41,,cholon,Cholon,,
42,,chon,Chon,,
43,,chukotkokamchatkan,Chukotko-Kamchatkan,,
44,,chumash,Chumash,,
45,,coahuiltecan,Coahuiltecan,,
46,,cofan,Cofán,,
47,,comecrudan,Comecrudan,,
48,,cuitlatec,Cuitlatec,,
49,,dagan,Dagan,,
50,,dravidian,Dravidian,,
51,,eastbirdshead,East Bird's Head,,
52,,eastbougainville,East Bougainville,,
53,,eastgeelvinkbay,East Geelvink Bay,,
54,,eaststrickland,East Strickland,,
55,,eleman,Eleman,,
56,,eskimoaleut,Eskimo-Aleut,,
57,,esselen,Esselen,,
58,,gapun,Gapun,,
59,,gogodalasuki,Gogodala-Suki,,
60,,guahiban,Guahiban,,
61,,guaicuruan,Guaicuruan,,
62,,hadza,Hadza,,
63,,haida,Haida,,
64,,harakmbet,Harakmbet,,
65,,hmongmien,Hmong-Mien,,
66,,hokan,Hokan,,
67,,huarpe,Huarpe,,
68,,huavean,Huavean,,
69,,huitotoan,Huitotoan,,
70,,indoeuropean,Indo-European,,
71,,iroquoian,Iroquoian,,
72,,itonama,Itonama,,
74,,japanese,Japanese,,
75,,jirajaran,Jirajaran,,
76,,jivaroan,Jivaroan,,
78,,kalapuyan,Kalapuyan,,
79,,karankawa,Karankawa,,
80,,pauwasi,Pauwasi,,
81,,karok,Karok,,
82,,kartvelian,Kartvelian,,
83,,katukinan,Katukinan,,
84,,kaure,Kaure,,
85,,kayagar,Kayagar,,
86,,keresan,Keresan,,
88,,kiowatanoan,Kiowa-Tanoan,,
89,,kiwaian,Kiwaian,,
90,,kolopom,Kolopom,,
91,,korean,Korean,,
92,,kunza,Kunza,,
93,,kuot,Kuot,,
94,,kusunda,Kusunda,,
95,,kutenai,Kutenai,,
96,,kwaza,Kwaza,,
97,,kwerba,Kwerba,,
98,,laal,Laal,,
99,,lakesplain,Lakes Plain,,
100,,lowersepikramu,Lower Sepik-Ramu,,
101,,lule,Lule,,
102,,macroge,Macro-Ge,,
103,,maku,Máku,,
105,,mascoian,Mascoian,,
106,,matacoan,Matacoan,,
107,,mayan,Mayan,,
108,,misumalpan,Misumalpan,,
109,,mixezoque,Mixe-Zoque,,
110,,mombum,Mombum,,
111,,monumbo,Monumbo,,
112,,moreheadanduppermarorivers,Morehead and Upper Maro Rivers,,
113,,morwap,Morwap,,
114,,mosetenan,Mosetenan,,
115,,movima,Movima,,
116,,mura,Mura,,
117,,muskogean,Muskogean,,
118,,nadene,Na-Dene,,
119,,nahali,Nahali,,
120,,nakhdaghestanian,Nakh-Daghestanian,,
121,,nambikuaran,Nambikuaran,,
122,,natchez,Natchez,,
123,,nigercongo,Niger-Congo,,
125,,nimboran,Nimboran,,
126,,nivkh,Nivkh,,
127,,northwestcaucasian,Northwest Caucasian,,
128,,oksapmin,Oksapmin,,
129,,oregoncoast,Oregon Coast,,
130,,other,other,,
131,,otomanguean,Oto-Manguean,,
132,,paezan,Páezan,,
133,,panoan,Panoan,,
134,,pebayaguan,Peba-Yaguan,,
135,,penutian,Penutian,,
136,,puinave,Puinave,,
137,,puquina,Puquina,,
138,,quechuan,Quechuan,,
139,,saliban,Sáliban,,
140,,salinan,Salinan,,
141,,salishan,Salishan,,
142,,senagi,Senagi,,
143,,sentani,Sentani,,
144,,sepik,Sepik,,
145,,sinotibetan,Sino-Tibetan,,
146,,siouan,Siouan,,
147,,skou,Skou,,
148,,sulka,Sulka,,
149,,tacame,Tacame,,
150,,tacanan,Tacanan,,
151,,taikadai,Tai-Kadai,,
152,,takelma,Takelma,,
153,,tarascan,Tarascan,,
154,,tasmanian,Tasmanian,,
155,,taushiro,Taushiro,,
156,,teberanpawaian,Teberan-Pawaian,,
157,,tequistlatecan,Tequistlatecan,,
158,,ticuna,Ticuna,,
