pk,jsondata,id,name,description,markup_description,family_pk,subfamily,icon
1,,southerncushitic,Southern Cushitic,,,1,Cushitic,c000000
2,,eastchadic,East Chadic,,,1,Chadic,c0000dd
3,,beja,Beja,,,1,Cushitic,c009900
4,,berber,Berber,,,1,,c66ff33
5,,biumandara,Biu-Mandara,,,1,Chadic,c990099
6,,westchadic,West Chadic,,,1,Chadic,c9999ff
7,,centralcushitic,Central Cushitic,,,1,Cushitic,c99ffff
8,,egyptiancoptic,Egyptian-Coptic,,,1,,caa0000
9,,southomotic,South Omotic,,,1,Omotic,ccccccc
10,,semitic,Semitic,,,1,,cdd0000
11,,masa,Masa,,,1,Chadic,cff4400
13,,northomotic,North Omotic,,,1,Omotic,cff66ff
14,,ainu,Ainu,,,2,,cffcc00
15,,alacalufan,Alacalufan,,,3,,cffff00
16,,yurok,Yurok,,,4,,cffffcc
17,,algonquian,Algonquian,,,4,,cffffff
18,,wiyot,Wiyot,,,4,,d000000
19,,turkic,Turkic,,,5,,d0000dd
20,,mongolic,Mongolic,,,5,,d009900
21,,tungusic,Tungusic,,,5,,d66ff33
22,,andoke,Andoke,,,7,,d990099
23,,anem,Anêm,,,8,,d9999ff
24,,arauan,Arauan,,,9,,d99ffff
25,,araucanian,Araucanian,,,10,,daa0000
27,,atakapa,Atakapa,,,12,,ddd0000
62,,aslian,Aslian,,,14,Mon-Khmer,sff4400
63,,bahnaric,Bahnaric,,,14,Mon-Khmer,sff6600
64,,pearic,Pearic,,,14,Mon-Khmer,sff66ff
65,,monic,Monic,,,14,Mon-Khmer,sffcc00
66,,munda,Munda,,,14,,sffff00
67,,vietmuong,Viet-Muong,,,14,Mon-Khmer,sffffcc
68,,nicobarese,Nicobarese,,,14,Mon-Khmer,sffffff
70,,khmer,Khmer,,,14,Mon-Khmer,t0000dd
71,,khasian,Khasian,,,14,Mon-Khmer,t009900
72,,katuic,Katuic,,,14,Mon-Khmer,t66ff33
73,,barito,Barito,,,15,,t990099
74,,chamorro,Chamorro,,,15,,t9999ff
75,,centralmalayopolynesian,Central Malayo-Polynesian,,,15,,t99ffff
76,,samabajaw,Sama-Bajaw,,,15,,taa0000
79,,southhalmaherawestnewguinea,South Halmahera - West New Guinea,,,15,Eastern Malayo-Polynesian,tff4400
46,,nyulnyulan,Nyulnyulan,,,412,,fff6600
38,,iwaidjan,Iwaidjan,,,413,,f66ff33
