pk,jsondata,name,description,markup_description,id,type,lang,version
1,,A-Pucikwar,ruhlen,,,name,en,1
2,,Abau,ruhlen,,,name,en,1
3,,Abaza,ruhlen,,,name,en,1
4,,Abelam,ruhlen,,,name,en,1
5,,Abenaki (Western),ruhlen,,,name,en,1
6,,Abiji,ruhlen,,,name,en,1
7,,Abipon,ruhlen,,,name,en,1
8,,Abkhaz,ruhlen,,,name,en,1
9,,Achagua,ruhlen,,,name,en,1
10,,Achang,ruhlen,,,name,en,1
11,,Achi,ruhlen,,,name,en,1
12,,Achinese,ruhlen,,,name,en,1
13,,Acholi,ruhlen,,,name,en,1
14,,Achuar,ruhlen,,,name,en,1
15,,Achumawi,ruhlen,,,name,en,1
16,,Adi,ruhlen,,,name,en,1
17,,Adygh,ruhlen,,,name,en,1
18,,Adynyamathanha,ruhlen,,,name,en,1
19,,Adyukru,ruhlen,,,name,en,1
20,,Adzera,ruhlen,,,name,en,1
21,,Afar,ruhlen,,,name,en,1
22,,Afrikaans,ruhlen,,,name,en,1
23,,Aghem,ruhlen,,,name,en,1
24,,Aghu,ruhlen,,,name,en,1
25,,Agta,ruhlen,,,name,en,1
26,,Aguacatec,ruhlen,,,name,en,1
27,,Aguaruna,ruhlen,,,name,en,1
28,,Agul,ruhlen,,,name,en,1
29,,Ahtna,ruhlen,,,name,en,1
30,,Ainu,ruhlen,,,name,en,1
31,,Aiwo,ruhlen,,,name,en,1
32,,Aizi,ruhlen,,,name,en,1
33,,Aja,ruhlen,,,name,en,1
34,,Ajie,ruhlen,,,name,en,1
35,,Aka-Bea,ruhlen,,,name,en,1
36,,Aka-Cari,ruhlen,,,name,en,1
37,,Aka-Kede,ruhlen,,,name,en,1
38,,Akan,ruhlen,,,name,en,1
39,,Akawaio,ruhlen,,,name,en,1
40,,Akha,ruhlen,,,name,en,1
41,,Aklanon,ruhlen,,,name,en,1
42,,Alabama,ruhlen,,,name,en,1
43,,Aladian,ruhlen,,,name,en,1
44,,Alagwa,ruhlen,,,name,en,1
45,,Alamblak,ruhlen,,,name,en,1
46,,Alas,ruhlen,,,name,en,1
47,,Alawa,ruhlen,,,name,en,1
48,,Albanian,ruhlen,,,name,en,1
49,,Aleut,ruhlen,,,name,en,1
50,,Allentiac,ruhlen,,,name,en,1
51,,Alsea,ruhlen,,,name,en,1
52,,Altai,ruhlen,,,name,en,1
53,,Alune,ruhlen,,,name,en,1
54,,Alutiiq,ruhlen,,,name,en,1
55,,Alyawarra,ruhlen,,,name,en,1
56,,Alyutor,ruhlen,,,name,en,1
57,,Amadi,ruhlen,,,name,en,1
58,,Amahuaca,ruhlen,,,name,en,1
59,,Amanab,ruhlen,,,name,en,1
60,,Amarakaeri,ruhlen,,,name,en,1
61,,Ambai,ruhlen,,,name,en,1
62,,Amberbaken,ruhlen,,,name,en,1
63,,Amele,ruhlen,,,name,en,1
64,,Amharic,ruhlen,,,name,en,1
65,,Ami,ruhlen,,,name,en,1
66,,Amo,ruhlen,,,name,en,1
67,,Amuesha,ruhlen,,,name,en,1
68,,Amuzgo,ruhlen,,,name,en,1
69,,Andi,ruhlen,,,name,en,1
70,,Andoke,ruhlen,,,name,en,1
71,,Aneityum,ruhlen,,,name,en,1
72,,Anem,ruhlen,,,name,en,1
73,,Angaataha,ruhlen,,,name,en,1
74,,Angami,ruhlen,,,name,en,1
75,,Angas,ruhlen,,,name,en,1
76,,Angaua,ruhlen,,,name,en,1
77,,Anggor,ruhlen,,,name,en,1
78,,Anuak,ruhlen,,,name,en,1
79,,Anyi,ruhlen,,,name,en,1
80,,Ao,ruhlen,,,name,en,1
81,,Aoban (Northeast),ruhlen,,,name,en,1
82,,Apache (Eastern),ruhlen,,,name,en,1
83,,Apache (Western),ruhlen,,,name,en,1
84,,Apalai,ruhlen,,,name,en,1
85,,Apatani,ruhlen,,,name,en,1
86,,Apinaye,ruhlen,,,name,en,1
87,,Apurina,ruhlen,,,name,en,1
88,,Arabana,ruhlen,,,name,en,1
89,,Arabela,ruhlen,,,name,en,1
90,,Arabic (Eastern),ruhlen,,,name,en,1
91,,Arabic (Western),ruhlen,,,name,en,1
92,,Araki,ruhlen,,,name,en,1
93,,Aramaic,ruhlen,,,name,en,1
94,,Aranda,ruhlen,,,name,en,1
95,,Arandai,ruhlen,,,name,en,1
96,,Araona,ruhlen,,,name,en,1
97,,Arapaho,ruhlen,,,name,en,1
98,,Arara (Tupi),ruhlen,,,name,en,1
99,,Arawak,ruhlen,,,name,en,1
100,,Arbore,ruhlen,,,name,en,1
101,,Archi,ruhlen,,,name,en,1
102,,'Are'are,ruhlen,,,name,en,1
103,,Ari,ruhlen,,,name,en,1
104,,Arikara,ruhlen,,,name,en,1
105,,Armenian,ruhlen,,,name,en,1
106,,Arosi,ruhlen,,,name,en,1
107,,Ashaninca,ruhlen,,,name,en,1
108,,Assamese,ruhlen,,,name,en,1
109,,Assyrian,ruhlen,,,name,en,1
110,,Asurini,ruhlen,,,name,en,1
111,,Atakapa,ruhlen,,,name,en,1
112,,Atayal,ruhlen,,,name,en,1
113,,Atchin,ruhlen,,,name,en,1
114,,Athpare,ruhlen,,,name,en,1
115,,Atsugewi,ruhlen,,,name,en,1
116,,Au,ruhlen,,,name,en,1
117,,Aulua,ruhlen,,,name,en,1
118,,Autu,ruhlen,,,name,en,1
119,,Auyana,ruhlen,,,name,en,1
120,,Avar,ruhlen,,,name,en,1
121,,Avatime,ruhlen,,,name,en,1
122,,Avukaya,ruhlen,,,name,en,1
123,,Awa,ruhlen,,,name,en,1
124,,Awadhi,ruhlen,,,name,en,1
125,,Awin,ruhlen,,,name,en,1
126,,Awngi,ruhlen,,,name,en,1
127,,Awngthim,ruhlen,,,name,en,1
128,,Awyi,ruhlen,,,name,en,1
129,,Axvax,ruhlen,,,name,en,1
130,,Aymara,ruhlen,,,name,en,1
131,,Ayoman,ruhlen,,,name,en,1
132,,Ayoreo,ruhlen,,,name,en,1
133,,Azerbaijani,ruhlen,,,name,en,1
134,,Baagandji,ruhlen,,,name,en,1
135,,Babatana,ruhlen,,,name,en,1
136,,Babungo,ruhlen,,,name,en,1
137,,Baburiwa,ruhlen,,,name,en,1
138,,Badaga,ruhlen,,,name,en,1
139,,Bade,ruhlen,,,name,en,1
140,,Bafut,ruhlen,,,name,en,1
141,,Baga Sitemu,ruhlen,,,name,en,1
142,,Bagirmi,ruhlen,,,name,en,1
143,,Bagulal,ruhlen,,,name,en,1
144,,Bahinemo,ruhlen,,,name,en,1
145,,Bahnar,ruhlen,,,name,en,1
146,,Baining,ruhlen,,,name,en,1
147,,Baka,ruhlen,,,name,en,1
148,,Bakairi,ruhlen,,,name,en,1
149,,Balangaw,ruhlen,,,name,en,1
150,,Balant,ruhlen,,,name,en,1
151,,Balantak,ruhlen,,,name,en,1
152,,Balendru,ruhlen,,,name,en,1
153,,Bali,ruhlen,,,name,en,1
154,,Baluchi,ruhlen,,,name,en,1
155,,Bambara,ruhlen,,,name,en,1
156,,Bambui,ruhlen,,,name,en,1
157,,Bamun,ruhlen,,,name,en,1
158,,Bana,ruhlen,,,name,en,1
159,,Banawa,ruhlen,,,name,en,1
160,,Bandi,ruhlen,,,name,en,1
161,,Bandjalang,ruhlen,,,name,en,1
162,,Banggai,ruhlen,,,name,en,1
163,,Banggarla,ruhlen,,,name,en,1
164,,Baniva,ruhlen,,,name,en,1
165,,Banjari,ruhlen,,,name,en,1
166,,Bankon,ruhlen,,,name,en,1
167,,Banoni,ruhlen,,,name,en,1
168,,Bantik,ruhlen,,,name,en,1
169,,Barai,ruhlen,,,name,en,1
170,,Barambo,ruhlen,,,name,en,1
171,,Barasano (Northern),ruhlen,,,name,en,1
172,,Barasano (Southern),ruhlen,,,name,en,1
173,,Bare,ruhlen,,,name,en,1
174,,Bari,ruhlen,,,name,en,1
175,,Bariba,ruhlen,,,name,en,1
176,,Baruya,ruhlen,,,name,en,1
177,,Basaa,ruhlen,,,name,en,1
178,,Basari,ruhlen,,,name,en,1
179,,Bashkarik,ruhlen,,,name,en,1
180,,Bashkir,ruhlen,,,name,en,1
181,,Basque,ruhlen,,,name,en,1
182,,Batak,ruhlen,,,name,en,1
183,,Bats,ruhlen,,,name,en,1
184,,Bau,ruhlen,,,name,en,1
185,,Baule,ruhlen,,,name,en,1
186,,Baure,ruhlen,,,name,en,1
187,,Bauzi,ruhlen,,,name,en,1
188,,Bayso,ruhlen,,,name,en,1
189,,Beami,ruhlen,,,name,en,1
190,,Bega,ruhlen,,,name,en,1
191,,Beja,ruhlen,,,name,en,1
192,,Bella Coola,ruhlen,,,name,en,1
193,,Bemba,ruhlen,,,name,en,1
195,,Benabena,ruhlen,,,name,en,1
196,,Bencho,ruhlen,,,name,en,1
197,,Benga,ruhlen,,,name,en,1
198,,Bengali,ruhlen,,,name,en,1
