id,name,dbpedia_url
aaa,Ghotuo,http://dbpedia.org/resource/Ghotuo_language
aal,Afade,http://dbpedia.org/resource/Afade_language
aau,Abau,http://dbpedia.org/resource/Abau_language
abb,Bankon,
abe,"Abnaki, Western",http://dbpedia.org/resource/Western_Abnaki_language
abi,Abidji,
abk,Abkhaz,http://dbpedia.org/resource/Abkhaz_language
abq,Abaza,http://dbpedia.org/resource/Abaza_language
abt,Ambulas,
arb,"Arabic, Standard",http://dbpedia.org/resource/Classical_Arabic
aca,Achagua,http://dbpedia.org/resource/Achagua_language
acc,"Achi', Cubulco",
abj,Aka-Bea,http://dbpedia.org/resource/Aka-Bea_language
acv,Achumawi,http://dbpedia.org/resource/Achumawi_language
aci,Aka-Cari,http://dbpedia.org/resource/Aka-Cari_language
acm,"Arabic, Mesopotamian Spoken",http://dbpedia.org/resource/Iraqi_Arabic
acn,Achang,http://dbpedia.org/resource/Ngac%27ang_language
ach,Acholi,http://dbpedia.org/resource/Acholi_language
acr,"Achi', Rabinal",
acu,Achuar-Shiwiar,http://dbpedia.org/resource/Shiwiar
acw,"Arabic, Hijazi Spoken",http://dbpedia.org/resource/Hejazi_Arabic
acy,"Arabic, Cypriot Spoken",http://dbpedia.org/resource/Cypriot_Maronite_Arabic
adi,Adi,
adj,Adioukrou,
ads,Adamorobe Sign Language,http://dbpedia.org/resource/Adamorobe_Sign_Language
adt,Adnyamathanha,http://dbpedia.org/resource/Adnyamathanha_language
adx,"Tibetan, Amdo",http://dbpedia.org/resource/Amdo_Tibetan_language
ady,Adyghe,http://dbpedia.org/resource/Adyghe_language
aeb,"Arabic, Tunisian Spoken",http://dbpedia.org/resource/Tunisian_Arabic
aed,Argentine Sign Language,
aer,"Arrernte, Eastern",
aes,Alsea,
pqa,Pa'a,http://dbpedia.org/resource/Pa%27a_language
afb,"Arabic, Gulf Spoken",http://dbpedia.org/resource/Gulf_Arabic
abv,"Arabic, Baharna Spoken",http://dbpedia.org/resource/Bahrani_Arabic
afr,Afrikaans,http://dbpedia.org/resource/Afrikaans
afn,Defaka,http://dbpedia.org/resource/Defaka_language
aar,Afar,http://dbpedia.org/resource/Afar_language
afz,Obokuitai,
agd,Agarabi,
agg,Angor,
agh,Ngelima,
agm,Angaataha,
agq,Aghem,
agr,Aguaruna,http://dbpedia.org/resource/Aguaruna_language
agt,"Agta, Central Cagayan",
agu,Awakateko,http://dbpedia.org/resource/Awakatek_language
agx,Aghul,http://dbpedia.org/resource/Agul_language
ahh,Aghu,http://dbpedia.org/resource/Aghu_language
ahp,"Aizi, Aproumu",
aht,Ahtena,http://dbpedia.org/resource/Inupiaq_language
aia,Arosi,
aib,Ainu,http://dbpedia.org/resource/%C3%84ynu_language
aie,Amara,http://dbpedia.org/resource/Amara_language
aii,Assyrian Neo-Aramaic,http://dbpedia.org/resource/Assyrian_Neo-Aramaic
aij,Lishanid Noshan,http://dbpedia.org/resource/Lishanid_Noshan
ain,Ainu,http://dbpedia.org/resource/Ainu_language_%28Hokkaid%C5%8D%29
aiw,Aari,http://dbpedia.org/resource/Aari_language
aja,Aja,http://dbpedia.org/resource/Aja_language_%28Nilo-Saharan%29
aji,Ajië,http://dbpedia.org/resource/Aji%C3%AB_language
ajp,"Arabic, South Levantine Spoken",http://dbpedia.org/resource/Palestinian_Arabic
ahk,Akha,http://dbpedia.org/resource/Akha_language
akc,Mpur,
akl,Inakeanon,http://dbpedia.org/resource/Aklanon_languages
akr,Araki,http://dbpedia.org/resource/Araki_language
akv,Akhvakh,http://dbpedia.org/resource/Akhvakh_language
akx,Aka-Kede,http://dbpedia.org/resource/Aka-Kede_language
akz,Alabama,http://dbpedia.org/resource/Alabama_language
