language_id,relation,isolanguage_id
tsl,,tza
unm,,unm
kus,,kgg
buj,,nmg
taq,,nan
bam,,bam
gpz,,gsw
ktu,,ktv
ktu,,kuf
ige,,ige
bgv,,kva
krd,,kmr
bsk,,bak
bdk,,bdk
gll,,gbi
mcs,,csm
gjj,,gub
bqh,,eus
jiv,,jiv
cti,,ctd
ang,,agg
kwb,,kwe
knk,,kna
gah,,gah
tic,,tca
crj,,cbd
qia,,cng
qia,,qxs
bhu,,unr
gil,,glk
syg,,ybe
toa,,tqo
cup,,cup
war,,pav
wps,,wap
gay,,gay
nze,,nzm
ath,,aph
orw,,ssn
tsr,,trr
khw,,khw
hmb,,hub
thn,,thf
yok,,yok
nak,,nak
amz,,amu
qim,,qvi
nng,,nyj
ant,,agm
awi,,awi
bum,,tkw
abz,,abq
sah,,saj
abu,,kgr
kbi,,nkf
pag,,pgu
mhi,,mar
bnt,,bnq
ord,,mvf
sud,,tgo
tsz,,ddo
liv,,liv
brb,,bba
nub,,kcn
kom,,xom
klm,,kla
gum,,kgs
alu,,alr
mmb,,mna
lok,,lok
mbo,,mxk
cec,,cob
bik,,bhw
nga,,nio
beo,,bue
dda,,duj
nrm,,nrm
mae,,mme
aro,,aia
pnr,,pbh
alg,,alq
wah,,wgi
wah,,whg
mlc,,mcm
paa,,pqa
grr,,gbc
igs,,tbi
shs,,sht
bin,,bhg
aik,,tba
pre,,asa
ega,,ega
gud,,gde
ars,,ayn
pta,,duf
wly,,wal
lob,,lob
arx,,alu
lov,,lbo
sor,,srb
leb,,agh
usa,,wnu
tem,,kdh
kkl,,bqy
aiz,,ahp
orm,,oru
cah,,chl
pms,,pma
klp,,kyl
slb,,sbe
gba,,bar
ctt,,cta
chz,,nan
apw,,apw
ypk,,esu
nkt,,cbn
bkn,,bdu
paw,,pwa
koo,,kvv
far,,fao
vat,,dic
rlo,,rmy
mig,,mmy
ckh,,mrn
gnn,,gww
lii,,ise
tso,,tsu
mxz,,miz
nim,,nir
zso,,zul
nar,,nrb
bpa,,bwr
hya,,hay
nis,,dap
ble,,bci
bil,,blb
ktl,,kcr
bnq,,nhb
hve,,huv
khr,,khr
kaj,,bpp
lkk,,lbc
ygr,,ygr
kaz,,kaz
ayi,,any
mei,,mni
cac,,cbv
hno,,hdn
guh,,ghs
kwm,,ksq
knp,,kcd
lgp,,psr
iga,,inb
ghr,,bfu
rsu,,roh
rwe,,rmw
ori,,ras
yal,,kkl
oto,,iow
tse,,aoz
csh,,cbs
sir,,sjr
djp,,duj
bbw,,gup
cak,,ckf
plp,,nij
nap,,trg
umu,,cbd
rag,,lml
tbu,,dzg
tbu,,tuq
msk,,jle
ykp,,yup
aym,,ayc
aym,,ayr
bsm,,bis
lla,,lby
skl,,skh
bir,,bom
ksg,,ksw
ind,,ind
mru,,mhx
bae,,bae
npn,,nag
qbo,,quh
qbo,,qul
ael,,ayl
pnu,,buh
qca,,qvc
kko,,knk
kbu,,kbl
trc,,trs
bdc,,brc
lua,,nie
mli,,gcc
gir,,glj
teh,,teh
tay,,cks
swa,,swh
nen,,yrk
arn,,shu
cos,,css
cos,,cst
sak,,sku
ics,,icl
mii,,tma
chl,,cjh
poh,,pon
ymd,,jmd
tbb,,tub
zqr,,zor
soo,,str
jia,,jya
eja,,etu
ctw,,chc
ptw,,wit
kak,,kbq
ktc,,xtc
wwy,,war
anl,,apc
nmd,,smq
kuu,,kuy
baf,,bfd
nku,,kzh
klt,,kzi
myr,,mcf
occ,,oci
arp,,ape
bra,,brb
chm,,cji
syu,,sll
ntn,,ntm
kol,,kfb
kol,,nit
kma,,kay
ing,,inh
lao,,lao
kln,,kvw
kla,,klu
sed,,sed
skp,,sel
yaq,,yaq
mar,,mrc
jaq,,jqr
cha,,cha
mus,,emi
nuu,,noo
mau,,mph
mda,,mxu
wrm,,wsa
tel,,tel
tng,,ton
aji,,aji
orl,,oro
heh,,heh
ccm,,cco
noc,,njb
ths,,tsq
eip,,eip
mui,,bmr
beg,,dbj
tuv,,tyv
bnw,,bwi
hix,,hix
gon,,ggo
gon,,gno
pal,,pau
dak,,dak
sap,,spu
png,,pbr
gla,,gio
chb,,can
crg,,gui
awa,,awb
itz,,itz
lga,,ojv
dmi,,dus
hre,,hre
ann,,aoi
blg,,blw
tsp,,tam
hum,,huu
pga,,plg
cyv,,cyb
niu,,niu
kyl,,eky
bkl,,bcl
wam,,wmb
mea,,mej
tbe,,tig
djr,,ddj
kpn,,kpg
nez,,nez
chx,,clo
nse,,nse
bej,,bej
ipi,,ins
nup,,nup
dob,,kvo
aht,,aht
fij,,fij
rnd,,run
emb,,emp
kni,,kma
yba,,yam
rnn,,mnv
sub,,sbs
tmr,,tea
ham,,hmt
orb,,gax
mgk,,mhk
kuz,,mbt
bel,,byw
fum,,ffm
hnd,,hke
ygn,,yai
mov,,mzp
jah,,jhi
kkp,,kaa
bul,,bul
swt,,ssw
kgu,,ktg
ese,,ese
khl,,klj
mbz,,mtk
thk,,ths
acg,,aca
mud,,mnf
den,,dny
cul,,cul
krm,,kdr
lcr,,gcf
lcr,,acf
ets,,ets
lon,,los
chk,,ckt
iba,,iba
api,,apn
nau,,nau
mdg,,mua
mas,,mcn
npu,,npy
hok,,nan
daw,,kwa
hwc,,hwc
chs,,csy
mba,,mfc
mwa,,mpj
ice,,isl
crl,,cal
brj,,bji
gau,,bar
luy,,luy
bsh,,buf
kpe,,xpe
wir,,wiw
gid,,bdy
gso,,kal
abw,,abe
dut,,nld
tan,,tan
wol,,woe
rad,,rad
nob,,fia
pow,,pim
kit,,kii
sel,,ona
goj,,gju
slg,,suv
ntu,,yrk
cly,,clw
yes,,yss
lnd,,liy
zpi,,zpd
amn,,amn
chr,,crw
pat,,ptp
lag,,kot
squ,,squ
byu,,bdy
bri,,bzd
naa,,cld
lmp,,ljp
wet,,lex
fus,,fuc
kin,,kin
lim,,lif
may,,ayz
mxt,,miy
els,,mrf
zfl,,zos
tug,,thv
grg,,gge
ndo,,ndo
dms,,dis
luo,,luo
kkn,,knn
sti,,sti
sti,,stt
cbo,,cao
coa,,xcw
klr,,shm
bui,,bzq
coe,,crd
tsg,,tsg
kiu,,kvd
mxj,,mio
pia,,pid
dim,,dim
win,,wit
sus,,sus
blq,,bol
run,,rou
miz,,lus
ivs,,ivv
tld,,tld
cze,,ces
tkm,,tuk
tnb,,tnd
dhb,,bjy
oma,,omg
tht,,kps
mqc,,gcf
boa,,kvg
mit,,zmq
uru,,ure
eng,,eng
awp,,kwi
baq,,brg
arg,,afb
hzb,,huz
bka,,bdh
pap,,pap
ain,,ain
gbe,,gsw
tzb,,tzb
lu,,khb
amq,,amk
rap,,rap
mxa,,mib
kxo,,xuu
hmr,,amf
kch,,khq
yrt,,yui
vag,,vag
mme,,mhr
yim,,yee
snc,,see
ldn,,lld
dts,,dts
dli,,nld
ydb,,ydd
skr,,tty
bql,,eus
tap,,gpn
lui,,lui
mhk,,nux
tzt,,tzh
swr,,shh
pir,,pib
mny,,zmc
mgu,,mug
url,,urk
sna,,scl
qaf,,aar
klg,,kle
aga,,agd
dyu,,dyu
kut,,kut
son,,sov
wch,,mzh
mta,,sdo
gro,,goa
hol,,hoo
mmp,,maw
nnk,,nnk
