pk,jsondata,id,name,description,markup_description,latitude,longitude,version
353,,ktz,Kati (in Afghanistan),,,35.5,70,1
616,,wgl,Waigali,,,35,71.25,1
1417,,pra,Prasuni,,,35.5,71,1
1175,,kdw,Kadiwéu,,,-20,-57,1
2677,,mcv,Mocoví,,,-28,-60.5,1
1626,,tob,Toba,,,-26.5,-59,1
2603,,sid,Sidaama,,,6.66666666667,38.5,1
1211,,abo,Arbore,,,5,36.75,1
661,,brj,Burji,,,5.5,37.8333333333,1
512,,bys,Bayso,,,6.25,37.75,1
673,,dug,Dullay (Gollango),,,5.5,37.25,1
734,,orb,Oromo (Boraana),,,4.5,38.5,1
2513,,orh,Oromo (Harar),,,9,42,1
1661,,orw,Oromo (Waata),,,-3.33333333333,39.8333333333,1
827,,owc,Oromo (West-Central),,,9,37,1
1048,,ren,Rendille,,,2,37.5,1
591,,sao,Saho,,,14.75,39.75,1
2364,,som,Somali,,,3,45,1
1447,,dah,Dahalo,,,-2.33333333333,40.5,1
2229,,nmb,Nambikuára (Southern),,,-14,-59.5,1
1249,,kwz,Kwaza,,,-12.5833333333,-60.6666666667,1
1128,,mdl,Matngele,,,-13.8333333333,130.416666667,1
1,,apk,A-Pucikwar,,,12.1666666667,92.8333333333,1
2,,aci,Achí,,,15.1666666667,-90.5,1
3,,ash,Adyghe (Shapsugh),,,45,38.75,1
4,,aka,Aka,,,2.66666666667,16.25,1
5,,akb,Aka-Biada,,,11.6666666667,92.5,1
102,,hnk,Hinuq,,,42.1666666667,46,1
484,,wgu,Warrongo,,,-18,145,1
916,,bnr,Bilinarra,,,-16,131.666666667,1
1722,,jva,Karajá,,,-10,-50.3333333333,1
982,,ghr,Bunan,,,32.5,77,1
1346,,bno,Waimaha,,,0.333333333333,-70.25,1
75,,grp,German (Ripuarian),,,51,7,1
76,,gtg,German (Thurgau),,,47.5833333333,9.16666666667,1
77,,gth,German (Thuringian),,,51,11,1
78,,gti,German (Timisoara),,,45.75,21.25,1
79,,gau,German (Upper Austrian),,,47,14,1
80,,gvi,German (Viennese),,,48.1666666667,16.3333333333,1
82,,gwe,German (Westphalian),,,52,7.5,1
83,,gzu,German (Zurich),,,47.4166666667,8.5,1
84,,gho,Ghotuo,,,7.08333333333,5.75,1
149,,lge,Low German,,,53,10,1
150,,lga,Luangiua,,,-5.33333333333,159.416666667,1
151,,lum,Lummi,,,48.7,-122.666666667,1
153,,lur,Luri,,,33.5,48.5,1
154,,lux,Luxemburgeois,,,49.8333333333,6.16666666667,1
155,,mca,Maca,,,-25,-57.5,1
156,,mdz,Mada (in Nigeria),,,8.75,8.25,1
159,,mhm,Mah Meri,,,2.83333333333,101.5,1
26,,bjs,Sama (Southern),,,4.5,118.5,1
298,,cco,Chasta Costa,,,42.6666666667,-124,1
299,,ctt,Chatino (Tataltepec),,,16.1666666667,-97.5833333333,1
300,,cmk,Chemakum,,,48.0833333333,-122.916666667,1
301,,cec,Chicomuceltec,,,15.5,-92.25,1
372,,lsa,Lengua de Señas Argentina,,,-34,-63,1
444,,rse,Romani (Sepecides),,,38.25,27,1
445,,rsl,Russian Sign Language,,,56,44,1
446,,smj,Semai,,,4.33333333333,101.666666667,1
25,,bah,Xiriana,,,2.66666666666667,-62.5,2
518,,buk,Bukusu,,,0.75,34.6666666667,1
519,,buw,Bulu,,,3,11,1
520,,chm,Chamalal,,,42.55,46.05,1
522,,dab,Daba,,,10.1666666667,13.75,1
523,,def,Defaka,,,4.58333333333,7.5,1
593,,sps,Salish (Southern Puget Sound),,,47.25,-122.5,1
594,,sbg,Sama (Balangingi),,,6.16666666667,121.833333333,1
596,,sen,Sena,,,-18,35.25,1
1921,,amu,Amuesha,,,-10.5,-75.4166666667,2
597,,shw,Shawnee,,,40,-83,1
598,,shr,Shor,,,53,88,1
600,,svc,Slovincian,,,54,16,1
601,,sol,Solon,,,48,120,1
602,,sub,Subiya,,,-17.75,24.9166666667,1
603,,suk,Suki,,,-8,141.75,1
667,,cla,Clallam,,,48.0833333333,-123.75,1
668,,cog,Cogui,,,11,-73.8333333333,1
743,,ski,Saami (Kildin),,,67,37,1
818,,mil,Milang,,,28.5,95.25,1
969,,agw,Alagwa,,,-5.5,35.75,1
970,,arl,Arabic (Lebanese),,,34,36,1
971,,ats,Atsugewi,,,40.75,-121,1
972,,brk,Berik,,,-2.25,138.833333333,1
1045,,nkk,Nakkara,,,-12.1166666667,134.416666667,1
1046,,nbb,Nambas (Big),,,-16.0833333333,167.2,1
