pk,jsondata,language_pk,identifier_pk,description,version
1,,1993,476,,1
2,,1587,167,,1
3,,15,95,,1
4,,1312,871,,1
5,,1644,823,,1
6,,1683,674,,1
7,,2046,1038,,1
8,,2128,1285,,1
9,,895,1397,,1
10,,1500,299,,1
11,,2459,841,,1
12,,986,781,,1
13,,845,1773,,1
14,,1051,1559,,1
15,,1135,1503,,1
16,,1936,1061,,1
17,,728,1282,,1
18,,311,394,,1
19,,276,102,,1
20,,1737,1540,,1
21,,2520,629,,1
22,,2256,1714,,1
23,,1874,1476,,1
24,,2212,1633,,1
25,,1530,1055,,1
26,,21,121,,1
27,,804,748,,1
28,,1035,748,,1
29,,2308,1879,,1
30,,1532,1619,,1
31,,1876,1163,,1
32,,1207,1881,,1
33,,1571,1681,,1
34,,1367,1303,,1
35,,205,1436,,1
36,,2314,950,,1
37,,1149,1639,,1
38,,1780,1639,,1
39,,1275,1560,,1
40,,1635,186,,1
41,,2030,1607,,1
42,,1223,365,,1
43,,1796,555,,1
44,,1022,1186,,1
45,,2433,1186,,1
46,,449,1576,,1
47,,1138,1336,,1
48,,2003,1239,,1
49,,1003,1417,,1
50,,1113,491,,1
51,,1713,77,,1
52,,1824,111,,1
53,,1645,838,,1
54,,1172,1118,,1
55,,2239,1129,,1
56,,2380,1756,,1
57,,604,1609,,1
58,,1905,1153,,1
59,,1636,1934,,1
60,,1080,883,,1
61,,810,883,,1
62,,1088,1147,,1
63,,874,592,,1
64,,1319,1261,,1
65,,1939,1261,,1
66,,443,1437,,1
67,,2300,853,,1
68,,846,461,,1
69,,1877,1650,,1
70,,1399,807,,1
71,,1280,1786,,1
73,,478,1786,,1
74,,476,1786,,1
75,,1049,1478,,1
76,,903,1701,,1
77,,2363,546,,1
78,,1891,455,,1
79,,2110,586,,1
80,,2040,345,,1
81,,301,334,,1
82,,350,763,,1
83,,1511,801,,1
84,,2207,1317,,1
85,,45,1317,,1
86,,2426,1807,,1
87,,112,679,,1
88,,1363,1081,,1
89,,1659,1311,,1
90,,1641,666,,1
91,,972,201,,1
92,,1345,170,,1
93,,1433,1837,,1
94,,1323,1304,,1
95,,2490,1194,,1
