ID,NameOLD,NameNEW,MacroareaOLD,MacroareaNEW,LatitudeOLD,LatitudeNEW,LongitudeOLD,LongitudeNEW,GlottocodeOLD,GlottocodeNEW,ISO639P3code,FamilyOLD,FamilyNEW,SubfamilyOLD,SubfamilyNEW,GenusOLD,GenusNEW,GenusIcon,ISO_codesOLD,ISO_codesNEW,Samples_100,Samples_200,Country_IDOLD,Country_IDNEW,Source
gho,Ghotuo,Ghotuo,Africa,Africa,7.083333333,7.083333333,5.75,5.75,ghot1243,ghot1243,aaa,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Edoid,Edoid,f9999ff,aaa,aaa,0,0,NG,NG,
aab,Arapesh (Abu),Arapesh (Abu),,Papunesia,-3.45,-3.45,142.95,142.95,,abua1245,,Torricelli,Torricelli,,,Kombio-Arapesh,Kombio-Arapesh,c0000dd,,aah,0,0,PG,PG,Nekitel-1985
ktk,Kotoko,Kotoko,Africa,Africa,11.33333333,11.33333333,15.33333333,15.33333333,afad1236,afad1236,aal,Afro-Asiatic,Afro-Asiatic,Chadic,Chadic,Biu-Mandara,Biu-Mandara,c990099,aal,aal,0,0,CF,CF,Bouny-1977
qaf,Qafar,Qafar,Africa,Africa,12,12,42,42,afar1241,afar1241,aar,Afro-Asiatic,Afro-Asiatic,Cushitic,Cushitic,Lowland East Cushitic,Lowland East Cushitic,cff6600,aar,aar,0,0,ET ER DJ,ET ER DJ,Bliese-1981 Corbett-1991 Hayward-1998 Malherbe-and-Rosenberg-1996 Parker-and-Hayward-1985
aba,Abau,Abau,Papunesia,Papunesia,-4,-4,141.25,141.25,abau1245,abau1245,aau,Sepik,Sepik,,,Upper Sepik,Abau,ddd0000,aau,aau,0,0,PG,PG,Bailey-1975
bnk,Bankon,Bankon,Africa,Africa,4.416666667,4.416666667,9.583333333,9.583333333,bank1256,bank1256,abb,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Bantoid,Wide Grassfields,d0000dd,abb,abb,0,0,CM,CM,Spellenberg-1969
abw,Abenaki (Western),Abenaki (Western),North America,North America,44,44,-72.25,-72.25,west2630,west2630,abe,Algic,Algic,,,Algonquian,Algonquian,cffffff,abe,abe,0,0,CA US,CA US,Day-1994 Day-1995
abd,Abidji,Abidji,Africa,Africa,5.666666667,5.666666667,-4.583333333,-4.583333333,abid1235,abid1235,abi,Niger-Congo,Niger-Congo,,Kwa,Kwa,Agneby,d009900,abi,abi,0,0,CI,CI,
akb,Aka-Biada,Aka-Biada,Eurasia,Eurasia,11.66666667,11.66666667,92.5,92.5,akab1249,akab1249,abj,Great Andamanese,Great Andamanese,,,Great Andamanese,Great Andamanese,tdd0000,abj,abj,0,0,IN,IN,Portman-1887b
abk,Abkhaz,Abkhaz,Eurasia,Eurasia,43.08333333,43.08333333,41,41,abkh1244,abkh1244,abk,Northwest Caucasian,Northwest Caucasian,,,Northwest Caucasian,Northwest Caucasian,t0000dd,abk,abk,1,1,GE,GE,Bybee-et-al-1994 Gecadze-1979 Hewitt-1979 Hewitt-1987 Hewitt-1989a Hewitt-1989d Hewitt-and-Khiba-1979 Lomtatidze-1967b Lomtatidze-1996 Spruyt-1986
abz,Abaza,Abaza,Eurasia,Eurasia,44,44,42,42,abaz1241,abaz1241,abq,Northwest Caucasian,Northwest Caucasian,,,Northwest Caucasian,Northwest Caucasian,t0000dd,abq,abq,0,0,RU,RU,Anonymous-1956 Genko-1995 Lomtatidze-and-Klychev-1989 OHerin-2001
amb,Ambulas,Ambulas,Papunesia,Papunesia,-3.833333333,-3.833333333,143,143,ambu1247,ambu1247,abt,Sepik,Sepik,,,Ndu,Ndu,fcccccc,abt,abt,0,0,PG,PG,Laycock-1965a Nichols-1992 Wilson-1980
abh,Arabic (Bahrain),Arabic (Bahrain),Eurasia,Eurasia,26,26,50.5,50.5,baha1259,baha1259,abv,Afro-Asiatic,Afro-Asiatic,,,Semitic,Semitic,cdd0000,abv,abv,0,0,BH,BH,
abv,Abui,Abui,Papunesia,Papunesia,-8.25,-8.25,124.6666667,124.6666667,abui1241,abui1241,abz,Timor-Alor-Pantar,Greater West Bomberai,,Timor-Alor-Pantar,Greater Alor,Alor-Pantar,tcccccc,abz,abz,0,0,ID,ID,Kratochvil-2007
acg,Achagua,Achagua,South America,South America,4.416666667,4.416666667,-72.25,-72.25,acha1250,acha1250,aca,Arawakan,Arawakan,,,Inland Northern Arawakan,Japura-Colombia,cdd0000,aca,aca,0,0,CO,CO,Aikhenvald-2007b Huber-and-Reed-1992 Melendez-1989 Wilson-and-Levinsohn-1992
ace,Acehnese,Acehnese,Eurasia,Eurasia,5.5,5.5,95.5,95.5,achi1257,achi1257,ace,Austronesian,Austronesian,,,Malayo-Sumbawan,Malayo-Sumbawan,d990099,ace,ace,0,0,ID,ID,Aboe-Bakar-et-al-1985 Cowan-1981 Durie-1985 Durie-1995 Durie-et-al-1994 van-Langen-1889
lcr,Lesser Antillean French Creole,Lesser Antillean French Creole,North America,North America,15,15,-61.16666667,-61.16666667,,less1242,,other,other,,,Creoles and Pidgins,Creoles and Pidgins,taa0000,acf gcf,acf gcf,0,0,MQ GY GD TT DM LC GP,MQ GY GD TT DM LC GP,Holm-1988
acl,Acholi,Acholi,Africa,Africa,3,3,32.66666667,32.66666667,acol1236,acol1236,ach,Eastern Sudanic,Eastern Sudanic,,Nilotic,Nilotic,Western Nilotic,sffcc00,ach,ach,0,0,UG SS,UG SS,Crazzolara-1938 Crazzolara-1955 Stolz-1996
akc,Aka-Cari,Aka-Cari,Eurasia,Eurasia,13.5,13.5,93,93,akac1240,akac1240,aci,Great Andamanese,Great Andamanese,,,Great Andamanese,Great Andamanese,tdd0000,aci,aci,0,0,IN,IN,Portman-1887b
