ID,NameOLD,NameNEW,MacroareaOLD,MacroareaNEW,LatitudeOLD,LatitudeNEW,LongitudeOLD,LongitudeNEW,GlottocodeOLD,GlottocodeNEW,ISO639P3code,FamilyOLD,FamilyNEW,SubfamilyOLD,SubfamilyNEW,GenusOLD,GenusNEW,GenusIcon,ISO_codesOLD,ISO_codesNEW,Samples_100,Samples_200,Country_IDOLD,Country_IDNEW,Source
sme,Seme,Seme,Africa,Africa,11,11,-4.916666667,-4.916666667,siam1242,siam1242,sif,Niger-Congo,Siamou,,,Kru,Siamou,d990099,sif,sif,0,0,BF,BF,Prost-1964d
tbl,Tabla,Tabla,Papunesia,Papunesia,-2.45,-2.45,140.4166667,140.4166667,tabl1243,tabl1243,tnm,Sentani,Sentanic,,,Sentani,Sentanic,dcccccc,tnm,tnm,0,0,ID,ID,Abisay-et-al-1983 Collier-and-Collier-1986
snt,Sentani,Sentani,Papunesia,Papunesia,-2.583333333,-2.583333333,140.5833333,140.5833333,nucl1632,nucl1632,set,Sentani,Sentanic,,,Sentani,Sentanic,dcccccc,set,set,0,1,ID,ID,Cowan-1965 Foley-1986 Hartzler-1994 Nichols-1992
kbo,Kambot,Kambot,Papunesia,Papunesia,-4.25,-4.25,144.1333333,144.1333333,apma1241,apma1241,kbx,Lower Sepik-Ramu,Keram,,,Botin,Ap Ma,sff4400,kbx,kbx,0,0,PG,PG,Laycock-and-Zgraggen-1975
rao,Rao,Rao,Papunesia,Papunesia,-4.75,-4.75,144.5,144.5,raoo1244,raoo1244,rao,Lower Sepik-Ramu,Ramu-Lower Sepik,Ramu,Ramu,Annaberg,Rao,sff6600,rao,rao,0,0,PG,PG,Stanhope-1980
kie,Kire,Kire,Papunesia,Papunesia,-4.25,-4.25,144.75,144.75,kire1240,kire1240,geb,Lower Sepik-Ramu,Ramu-Lower Sepik,Ramu,Ramu,Mikarew,Ruboni,sff66ff,geb,geb,0,0,PG,PG,Stanhope-1972
mkr,Mikarew,Mikarew,Papunesia,Papunesia,-4.416666667,-4.416666667,144.9166667,144.9166667,arua1260,arua1260,msy,Lower Sepik-Ramu,Ramu-Lower Sepik,Ramu,Ramu,Mikarew,Ruboni,sff66ff,msy,msy,0,0,PG,PG,ZGraggen-1969
kai,Kaian,Kaian,Papunesia,Papunesia,-4.083333333,-4.083333333,144.75,144.75,kaia1245,kaia1245,kct,Lower Sepik-Ramu,Ramu-Lower Sepik,Ramu,Ramu,Lower Ramu,Lower Ramu,sffcc00,kct,kct,0,0,PG,PG,ZGraggen-1969
wtm,Watam,Watam,Papunesia,Papunesia,-3.916666667,-3.916666667,144.5,144.5,wata1253,wata1253,wax,Lower Sepik-Ramu,Ramu-Lower Sepik,Ramu,Ramu,Lower Ramu,Lower Ramu,sffcc00,wax,wax,0,0,PG,PG,Anonymous-5
chb,Chambri,Chambri,Papunesia,Papunesia,-4.166666667,-4.166666667,143.0833333,143.0833333,cham1313,cham1313,can,Lower Sepik-Ramu,Ramu-Lower Sepik,,,Lower Sepik,Lower Sepik,sdd0000,can,can,0,0,PG,PG,Laycock-and-Zgraggen-1975
