id,name,gbs_id
Abad-1928,Abad 1928,
Abaev-1959,Abaev 1959,
Abaev-1964,Abaev 1964,
Abas-and-Grimes-1995,Abas and Grimes 1995,
Abaurre-and-Wetzels-1992,Abaurre and Wetzels 1992,
Abbey-1899,Abbey 1899,
Abbi-1992,Abbi 1992,
Abbott-1984,Abbott 1984,
Abbott-1985,Abbott 1985,
Abbott-1991,Abbott 1991,
Abbott-2000,Abbott 2000,
Abdalla-1969,Abdalla 1969,
Abdalla-1973,Abdalla 1973,
Abdel-Hafiz-1988,Abdel-Hafiz 1988,
Abdel-Massih-1971,Abdel-Massih 1971,
Abdel-Massih-1973,Abdel-Massih 1973,
Abdel-Massih-et-al-1979,Abdel-Massih et al. 1979,
Abdoulaye-2004,Abdoulaye 2004,FxkobNpxQhwC
Abdul-Karim-1979,Abdul-Karim 1979,
Abdulaziz-1996,Abdulaziz 1996,
Abdulla-and-McCarus-1967,Abdulla and McCarus 1967,
Abdullaev-1967,Abdullaev 1967,
Abdullaev-1971,Abdullaev 1971,
Abdullah-Faridan-et-al-1983,Abdullah Faridan et al. 1983,
Abega-1970,Abega 1970,
Abeghian-1936,Abeghian 1936,
Abisay-et-al-1983,Abisay et al. 1983,
Abitov-et-al-1957,Abitov et al. 1957,
Ablorh-Odjidja-1968,Ablorh-Odjidja 1968,
Abo-et-al-1976,Abo et al. 1976,
Aboe-Bakar-et-al-1985,Aboe Bakar et al. 1985,
Abondolo-1998,Abondolo 1998,0YMU5azMAV0C
Abott-2000,Abott 2000,
Abraham-1933,Abraham 1933,
Abraham-1940,Abraham 1940,
Abraham-1941,Abraham 1941,
Abraham-1951,Abraham 1951,
Abraham-1985,Abraham 1985,
Abrahamson-1962,Abrahamson 1962,
Abrams-1970,Abrams 1970,
Abramson-1962,Abramson 1962,
Abramson-1968,Abramson 1968,
Abreu-1914,Abreu 1914,
Abreu-1931,Abreu 1931,
Abu-Absi-1995,Abu-Absi 1995,
Abu-Salim-1980,Abu-Salim 1980,
Abu-Salim-1982,Abu-Salim 1982,
Acharya-1983,Acharya 1983,
Acharya-1991,Acharya 1991,Z_JoCIRN_xwC
Achundova-1971,Achundova 1971,
Adam-1873,Adam 1873,
Adam-1885,Adam 1885,
Adam-1891,Adam 1891,
Adam-1897,Adam 1897,
Adam-1954,Adam 1954,
Adam-and-Henry-1880,Adam and Henry 1880,
Adams-1932,Adams 1932,
Adams-1976a,Adams 1976a,
Adams-1976b,Adams 1976b,
Adams-1976c,Adams 1976c,
Adelaar-1977,Adelaar 1977,
Adelaar-1984,Adelaar 1984,
Adelaar-1995a,Adelaar 1995a,
Adelaar-1995b,Adelaar 1995b,
Adelaar-1995c,Adelaar 1995c,
Adelaar-2004,Adelaar 2004,LjPrXSkf8wMC
Adewole-1987,Adewole 1987,
Adive-1989,Adive 1989,
Adler-1966,Adler 1966,
Adriani-1893,Adriani 1893,oJXmuUt8AMIC
Adriani-1931,Adriani 1931,
Adriani-and-Adriani-1908,Adriani and Adriani 1908,
Adwiraah-1989,Adwiraah 1989,
Agard-1958,Agard 1958,
Agazade-1967,Agazade 1967,
Agbodjo-and-Litvinov-2001,Agbodjo and Litvinov 2001,
Agesthialingom-1967,Agesthialingom 1967,
Aginsky-1935,Aginsky 1935,
Agnew-and-Pike-1957,Agnew and Pike 1957,
Aguas-1968,Aguas 1968,
