pk,jsondata,value_pk,sentence_pk,description,version
1,,25145,1,,1
2,,3327,2,,1
3,,53958,3,,1
4,,40185,4,,1
5,,40185,5,,1
6,,3658,6,,1
7,,53986,7,,1
8,,2963,8,,1
9,,24895,9,,1
10,,25104,10,,1
11,,8981,11,,1
12,,24998,12,,1
13,,6565,13,,1
14,,6771,13,,1
15,,11457,14,,1
16,,4807,15,,1
17,,25042,18,,1
18,,54196,19,,1
19,,54196,20,,1
20,,54196,21,,1
21,,54375,19,,1
22,,54375,20,,1
23,,54375,21,,1
24,,36227,22,,1
25,,36227,23,,1
26,,3413,24,,1
27,,3074,25,,1
28,,2946,26,,1
29,,2960,27,,1
30,,6096,28,,1
31,,54143,29,,1
32,,54143,30,,1
33,,54143,31,,1
34,,54143,32,,1
35,,54143,33,,1
36,,54323,29,,1
37,,54323,30,,1
38,,54323,31,,1
39,,54323,32,,1
40,,54323,33,,1
41,,2539,34,,1
42,,9247,35,,1
43,,9247,36,,1
44,,3877,37,,1
45,,12216,38,,1
46,,25101,39,,1
47,,44870,40,,1
48,,44870,41,,1
49,,24939,42,,1
50,,2514,43,,1
51,,12754,44,,1
52,,8943,45,,1
53,,25178,46,,1
54,,25086,47,,1
55,,2947,48,,1
56,,55443,49,,1
57,,55443,50,,1
58,,3447,51,,1
59,,2875,52,,1
60,,8953,53,,1
61,,27655,54,,1
62,,27655,55,,1
63,,24920,56,,1
64,,2827,57,,1
65,,5878,58,,1
66,,34726,59,,1
67,,34726,60,,1
68,,25137,61,,1
69,,11852,62,,1
70,,11852,63,,1
71,,14004,64,,1
72,,26122,65,,1
73,,24910,66,,1
74,,2653,67,,1
75,,3122,68,,1
76,,10236,69,,1
77,,805,70,,1
78,,805,71,,1
79,,53987,72,,1
80,,53987,73,,1
81,,6523,74,,1
82,,6734,74,,1
83,,6047,75,,1
84,,25155,76,,1
85,,2749,77,,1
86,,24929,78,,1
87,,24921,79,,1
88,,4821,80,,1
89,,4821,81,,1
90,,12787,82,,1
91,,12787,83,,1
92,,12787,84,,1
93,,12787,85,,1
94,,12787,86,,1
95,,12787,87,,1
96,,12787,88,,1
97,,12787,89,,1
98,,12787,90,,1
99,,12787,91,,1
100,,12787,92,,1
101,,12787,93,,1
102,,12787,94,,1
103,,12787,95,,1
104,,12787,96,,1
105,,12787,97,,1
106,,12787,98,,1
107,,12787,99,,1
108,,12787,100,,1
109,,12787,101,,1
110,,12787,102,,1
111,,12787,103,,1
112,,12787,104,,1
113,,12787,105,,1
114,,12787,106,,1
115,,12787,107,,1
116,,12787,108,,1
117,,12787,109,,1
118,,12787,110,,1
119,,12787,111,,1
120,,25081,114,,1
121,,54997,115,,1
122,,30165,116,,1
123,,54699,117,,1
124,,54699,118,,1
125,,3217,119,,1
126,,6091,120,,1
127,,12635,121,,1
128,,12635,122,,1
129,,12635,123,,1
130,,12635,124,,1
131,,12635,125,,1
132,,12635,126,,1
133,,12635,127,,1
134,,12635,128,,1
135,,12635,129,,1
136,,12635,130,,1
137,,12635,131,,1
138,,12635,132,,1
139,,12635,133,,1
140,,12635,134,,1
141,,12635,135,,1
142,,12635,136,,1
143,,25093,137,,1
144,,25172,138,,1
145,,3075,139,,1
146,,36532,140,,1
147,,36532,141,,1
148,,36532,142,,1
149,,6040,143,,1
150,,24919,144,,1
151,,3639,145,,1
152,,3455,146,,1
153,,3856,147,,1
154,,3659,149,,1
155,,3574,150,,1
156,,53956,151,,1
157,,24914,152,,1
158,,25015,153,,1
159,,24918,154,,1
160,,46669,155,,1
161,,4636,156,,1
162,,10652,157,,1
163,,10652,158,,1
164,,10652,159,,1
165,,9121,160,,1
166,,2709,161,,1
167,,5938,162,,1
168,,3508,163,,1
169,,25064,164,,1
170,,25153,165,,1
171,,2941,166,,1
172,,3475,167,,1
173,,3031,168,,1
174,,3237,169,,1
175,,38863,170,,1
176,,24990,171,,1
177,,3005,172,,1
178,,3291,173,,1
179,,38114,174,,1
180,,3575,175,,1
181,,51676,176,,1
182,,51676,177,,1
183,,2830,178,,1
184,,3133,179,,1
185,,5888,180,,1
186,,2928,181,,1
187,,24993,182,,1
188,,2522,183,,1
189,,3092,184,,1
190,,4914,185,,1
191,,4914,186,,1
192,,53938,190,,1
193,,25062,191,,1
194,,3119,192,,1
195,,3280,193,,1
196,,6505,194,,1
197,,6719,194,,1
198,,5951,195,,1
199,,54534,196,,1
200,,54534,197,,1
201,,1591,198,,1
202,,2634,199,,1
203,,54101,200,,1
204,,54101,201,,1
205,,54101,202,,1
206,,54101,203,,1
207,,54285,200,,1
208,,54285,201,,1
209,,54285,202,,1
210,,54285,203,,1
211,,12200,204,,1
212,,4603,206,,1
213,,4603,207,,1
214,,6015,208,,1
215,,36828,209,,1
216,,36828,210,,1
217,,3477,211,,1
218,,8856,212,,1
219,,6402,213,,1
220,,6632,213,,1
221,,25069,214,,1
222,,24862,215,,1
223,,44236,216,,1
224,,25179,217,,1
225,,25044,218,,1
226,,27784,219,,1
227,,2511,220,,1
228,,24961,221,,1
229,,9042,222,,1
230,,29237,223,,1
231,,9896,224,,1
232,,9896,225,,1
233,,9896,226,,1
234,,9896,227,,1
235,,24941,228,,1
236,,11478,229,,1
237,,2530,230,,1
238,,2772,231,,1
239,,53966,232,,1
240,,3296,233,,1
241,,24917,234,,1
242,,2683,235,,1
243,,25010,236,,1
244,,54249,237,,1
245,,54249,238,,1
246,,54249,239,,1
247,,54249,240,,1
248,,54249,241,,1
249,,54420,237,,1
250,,54420,238,,1
251,,54420,239,,1
252,,54420,240,,1
253,,54420,241,,1
254,,2761,242,,1
255,,37102,243,,1
256,,37102,244,,1
257,,25137,245,,1
258,,7899,246,,1
259,,7899,247,,1
260,,3158,248,,1
261,,54485,249,,1
262,,54485,250,,1
263,,54261,251,,1
264,,54261,252,,1
265,,54261,253,,1
266,,54261,254,,1
267,,54261,255,,1
268,,54431,251,,1
269,,54431,252,,1
270,,54431,253,,1
271,,54431,254,,1
272,,54431,255,,1
273,,12719,256,,1
274,,12719,257,,1
275,,12719,258,,1
276,,12719,259,,1
277,,12719,260,,1
278,,12719,261,,1
279,,12719,262,,1
280,,12719,263,,1
281,,12719,264,,1
282,,12719,265,,1
283,,12719,266,,1
284,,12719,267,,1
285,,12719,268,,1
286,,12719,269,,1
287,,12719,270,,1
288,,12719,271,,1
289,,12719,272,,1
290,,12719,273,,1
291,,12719,274,,1
292,,12719,275,,1
293,,12719,276,,1
294,,12719,277,,1
295,,12719,278,,1
296,,12719,279,,1
297,,54116,280,,1
298,,54116,281,,1
299,,54299,280,,1
300,,54299,281,,1
301,,38486,282,,1
302,,3161,283,,1
303,,10770,284,,1
304,,3244,285,,1
305,,2555,286,,1
306,,2508,287,,1
307,,25030,288,,1
308,,26635,289,,1
309,,25016,290,,1
310,,4607,291,,1
311,,4607,292,,1
312,,12957,293,,1
313,,12957,294,,1
314,,12957,295,,1
315,,8051,296,,1
316,,54926,297,,1
317,,9189,298,,1
318,,9189,299,,1
319,,7114,300,,1
320,,27280,301,,1
321,,27280,302,,1
322,,27280,303,,1
323,,12757,304,,1
324,,12757,305,,1
325,,12757,306,,1
326,,12757,307,,1
327,,12757,308,,1
328,,12757,309,,1
329,,12757,310,,1
330,,12757,311,,1
331,,12757,312,,1
332,,12757,313,,1
333,,12757,314,,1
334,,12757,315,,1
335,,12757,316,,1
336,,12757,317,,1
337,,12757,318,,1
338,,12757,319,,1
339,,12757,320,,1
340,,12757,321,,1
341,,24970,322,,1
342,,12880,323,,1
343,,12880,324,,1
344,,12880,325,,1
345,,12880,326,,1
346,,12880,327,,1
347,,12880,328,,1
348,,12880,329,,1
349,,12880,330,,1
350,,12880,331,,1
351,,12880,332,,1
352,,12880,333,,1
353,,12880,334,,1
354,,12880,335,,1
355,,12880,336,,1
356,,12880,337,,1
357,,12880,338,,1
358,,12880,339,,1
359,,12880,340,,1
360,,12880,341,,1
361,,12880,342,,1
362,,12880,343,,1
363,,3700,344,,1
364,,26804,345,,1
365,,26804,346,,1
366,,25019,347,,1
367,,3740,348,,1
368,,24943,349,,1
369,,2799,350,,1
370,,2533,351,,1
371,,2781,352,,1
372,,2585,353,,1
373,,25056,354,,1
374,,2562,355,,1
375,,24957,356,,1
376,,8059,358,,1
377,,12312,359,,1
378,,3623,360,,1
379,,6063,361,,1
380,,10430,362,,1
381,,10430,363,,1
382,,5900,364,,1
383,,25148,365,,1
384,,44221,366,,1
385,,44221,367,,1
386,,3039,368,,1
387,,54222,369,,1
388,,54222,370,,1
389,,6098,371,,1
390,,54265,372,,1
391,,54265,373,,1
392,,54435,372,,1
393,,54435,373,,1
394,,29332,374,,1
395,,12368,375,,1
396,,12368,376,,1
397,,12368,377,,1
398,,3864,378,,1
399,,24862,379,,1
400,,2966,380,,1
401,,12773,381,,1
402,,12773,382,,1
403,,12773,383,,1
404,,12773,384,,1
405,,12773,385,,1
406,,12773,386,,1
407,,12773,387,,1
408,,12773,388,,1
409,,12773,389,,1
410,,12773,390,,1
411,,12773,391,,1
412,,6375,392,,1
413,,6609,392,,1
414,,54142,393,,1
415,,54142,394,,1
416,,54142,395,,1
417,,54142,396,,1
418,,54322,393,,1
419,,54322,394,,1
420,,54322,395,,1
421,,54322,396,,1
422,,3213,397,,1
423,,39416,398,,1
424,,6459,399,,1
425,,6681,399,,1
426,,54704,400,,1
427,,54704,401,,1
428,,7111,402,,1
429,,3542,403,,1
430,,12954,404,,1
431,,12954,405,,1
432,,12954,406,,1
433,,12954,407,,1
434,,12954,408,,1
435,,57342,409,,1
436,,6395,410,,1
437,,6626,410,,1
438,,2970,411,,1
439,,6563,412,,1
440,,6769,412,,1
441,,9219,413,,1
442,,7109,414,,1
443,,6581,415,,1
444,,6783,415,,1
445,,25177,416,,1
446,,3084,417,,1
447,,3559,418,,1
448,,3398,420,,1
449,,3225,421,,1
450,,9055,422,,1
451,,3647,423,,1
452,,27595,424,,1
453,,2743,425,,1
454,,12786,426,,1
455,,12786,427,,1
456,,12786,428,,1
457,,12786,429,,1
458,,25017,430,,1
459,,7090,431,,1
460,,13889,432,,1
461,,13889,433,,1
462,,13889,434,,1
463,,13889,435,,1
464,,2859,436,,1
465,,25018,437,,1
466,,45799,438,,1
467,,6534,439,,1
468,,6744,439,,1
469,,2984,440,,1
470,,24934,441,,1
471,,25128,442,,1
472,,3392,443,,1
473,,3760,444,,1
474,,8014,445,,1
475,,54123,446,,1
476,,54123,447,,1
477,,54123,448,,1
478,,54123,449,,1
479,,54306,446,,1
480,,54306,447,,1
481,,54306,448,,1
482,,54306,449,,1
483,,35874,450,,1
484,,3353,451,,1
485,,30632,452,,1
486,,30632,453,,1
487,,2873,454,,1
488,,54210,455,,1
489,,54210,456,,1
490,,12985,457,,1
491,,12985,458,,1
492,,12985,459,,1
493,,12985,460,,1
494,,12985,461,,1
495,,12985,462,,1
496,,12985,463,,1
497,,12985,464,,1
498,,3834,465,,1
499,,54167,466,,1
500,,54167,467,,1
501,,54167,468,,1
502,,54167,469,,1
503,,54346,466,,1
504,,54346,467,,1
505,,54346,468,,1
506,,54346,469,,1
507,,3233,470,,1
508,,2692,471,,1
509,,25729,472,,1
510,,30888,473,,1
511,,3924,476,,1
512,,12969,477,,1
513,,12969,478,,1
514,,12969,479,,1
515,,12969,480,,1
516,,12969,481,,1
517,,12969,482,,1
518,,12969,483,,1
519,,12969,484,,1
520,,12969,485,,1
521,,12969,486,,1
522,,12969,487,,1
523,,12969,488,,1
524,,12969,489,,1
525,,12969,490,,1
526,,12969,491,,1
527,,12969,492,,1
528,,12969,493,,1
529,,12969,494,,1
530,,12969,495,,1
531,,54220,496,,1
532,,54220,497,,1
533,,54220,498,,1
534,,54220,499,,1
535,,54396,496,,1
536,,54396,497,,1
537,,54396,498,,1
538,,54396,499,,1
539,,10461,500,,1
540,,10461,501,,1
541,,3490,502,,1
542,,4676,503,,1
543,,4676,504,,1
544,,4676,505,,1
545,,7086,506,,1
546,,9057,507,,1
547,,9057,508,,1
548,,3792,509,,1
549,,12810,510,,1
550,,12810,511,,1
551,,12810,512,,1
552,,12810,513,,1
553,,12810,514,,1
554,,12810,515,,1
555,,12810,516,,1
556,,12810,517,,1
557,,12810,518,,1
558,,12810,519,,1
559,,12810,520,,1
560,,12810,521,,1
561,,12810,522,,1
562,,12810,523,,1
563,,12810,524,,1
564,,12810,525,,1
565,,3071,526,,1
566,,6479,527,,1
567,,6697,527,,1
568,,7072,528,,1
569,,25142,529,,1
570,,12308,530,,1
571,,12308,531,,1
572,,7717,532,,1
573,,3223,533,,1
574,,3494,534,,1
575,,13010,535,,1
576,,13010,536,,1
577,,3103,537,,1
578,,25039,538,,1
579,,7080,539,,1
580,,6027,540,,1
581,,5918,541,,1
582,,9134,542,,1
583,,2974,543,,1
584,,8018,544,,1
585,,2581,545,,1
586,,6061,546,,1
587,,24242,547,,1
588,,5906,548,,1
589,,9207,549,,1
590,,7285,550,,1
591,,25143,551,,1
592,,6407,552,,1
593,,6637,552,,1
594,,3023,553,,1
595,,6070,554,,1
596,,1933,555,,1
597,,25147,556,,1
598,,3597,557,,1
599,,3504,558,,1
600,,25164,559,,1
601,,5814,560,,1
602,,12809,561,,1
