pk,jsondata,key,description,valueset_pk,source_pk,version
82221,,,,21628,7535,1
1,,,197,1,348,1
2,,,"159, 164",2,1504,1
3,,,"45, 133",3,1992,1
4,,,141f.,3,1101,1
5,,,"114f., 147",4,1333,1
6,,,207,4,2688,1
7,,,"89, 138",5,2230,1
8,,,"85, 160",6,3799,1
9,,,"54, 266",7,707,1
10,,,376,7,4589,1
11,,,380f.,8,3112,1
12,,,329,9,248,1
13,,,108-112,10,4335,1
14,,,201f.,11,2423,1
15,,,,12,1030,1
16,,,44-50,12,4413,1
17,,,"41, 180f.",13,1132,1
18,,,38,14,3514,1
19,,,46,15,1953,1
20,,,242f.,16,178,1
21,,,"109f., 116",17,1960,1
22,,,222,17,2958,1
23,,,"227, 257, 329",18,1396,1
24,,,"47, 117",20,1054,1
25,,,236,21,722,1
26,,,380,21,1971,1
27,,,"19, 33",22,4598,1
28,,,302,23,921,1
29,,,270f,24,1372,1
30,,,44,25,4173,1
31,,,,26,1225,1
32,,,"124, 126",26,973,1
33,,,401,26,1262,1
34,,,107,27,4597,1
35,,,"32-40, 266f.",28,629,1
36,,,315,29,1985,1
37,,,"96, 106",30,737,1
38,,,184f.,31,664,1
39,,,325,32,1597,1
40,,,29,33,436,1
41,,,152,34,4591,1
42,,,179,35,1086,1
43,,,231,36,1094,1
44,,,188,37,1258,1
45,,,445,38,3085,1
46,,,"8, 183",39,144,1
47,,,385,40,1025,1
48,,,44,41,1214,1
49,,,405,41,1347,1
50,,,58,42,590,1
51,,,"53-55, 242",43,1939,1
52,,,291-294,44,2124,1
53,,,"160, 184f.",46,485,1
54,,,1616-1618,47,4575,1
55,,,53f.,48,1498,1
56,,,145f.,49,4585,1
57,,,"101, 117",50,322,1
58,,,265,51,598,1
59,,,"205, 210f.",52,3820,1
60,,,24,53,4570,1
61,,,35,53,4602,1
62,,,153-159,54,4581,1
63,,,322,54,1173,1
64,,,280f.,55,4584,1
66,,,88,57,56,1
67,,,27f.,58,116,1
68,,,631,59,349,1
69,,,1888,60,4596,1
70,,,193,61,559,1
71,,,"117, 151",62,398,1
72,,,19,63,4586,1
73,,,184,63,1285,1
74,,,293,64,1266,1
75,,,242,65,1176,1
76,,,"61, 100-102",67,239,1
77,,,"67, 201-205",68,4582,1
78,,,143f.,70,1000,1
79,,,316,71,1060,1
80,,,"86, 133",72,944,1
81,,,60,73,266,1
82,,,110,74,3922,1
83,,,231,75,4427,1
84,,,178,76,760,1
85,,,217,78,4418,1
86,,,"289f., 292f.",79,1350,1
87,,,336f.,80,2553,1
88,,,219,81,2244,1
89,,,"84f., 87",82,168,1
90,,,77-85,83,4600,1
91,,,320f.,83,1279,1
92,,,36,84,3091,1
93,,,"119, 121",85,3107,1
94,,,241f.,87,795,1
95,,,52,88,2445,1
96,,,82f.,89,625,1
97,,,"133, 145, 148",90,102,1
98,,,461,92,153,1
99,,,186,94,232,1
100,,,317,95,1208,1
101,,,51,96,1534,1
102,,,186,97,1776,1
103,,,61,98,612,1
104,,,31f.,99,1995,1
105,,,186,100,4363,1
106,,,37,101,762,1
107,,,171,102,886,1
108,,,25,103,294,1
109,,,"160, 195, 200-202",104,1064,1
110,,,180,105,184,1
111,,,320f.,106,3376,1
112,,,"136, 145f.",107,4595,1
113,,,68,108,695,1
114,,,310f.,109,687,1
115,,,125,110,4480,1
116,,,75,111,4271,1
117,,,191f.,112,455,1
118,,,474,114,2009,1
119,,,183f.,115,1115,1
120,,,233-236,116,4578,1
121,,,46,118,533,1
122,,,"151, 160",119,327,1
123,,,"397, 400",121,1374,1
124,,,144,122,367,1
125,,,162f.,124,2887,1
126,,,40,125,4587,1
127,,,"180f., 185",126,4566,1
128,,,241,127,3080,1
129,,,"142, 146",128,565,1
130,,,419,129,3769,1
131,,,"308f., 335-339",130,3199,1
132,,,464,131,52,1
133,,,302,132,785,1
134,,,"79f., 94",133,844,1
135,,,439,134,3123,1
136,,,109,135,282,1
137,,,"48, 54f.",136,4574,1
138,,,128,136,218,1
139,,,179-181,137,193,1
140,,,108,139,4507,1
141,,,111,141,107,1
142,,,79,142,524,1
143,,,177f.,143,3328,1
144,,,189,144,1922,1
145,,,"327, 330, 373-375",145,3189,1
146,,,60,146,4425,1
147,,,"13, 110",147,852,1
148,,,"14, 161f.",148,3530,1
149,,,"512, 517",149,386,1
150,,,126,150,4313,1
151,,,263,151,950,1
152,,,44,152,296,1
153,,,166,153,817,1
154,,,438f.,154,335,1
155,,,62,155,1,1
156,,,78,156,639,1
157,,,"61, 94f.",157,345,1
158,,,133f.,158,176,1
159,,,87,159,1012,1
160,,,45,160,492,1
161,,,284,161,142,1
162,,,99f.,162,4593,1
163,,,250-251,162,1990,1
164,,,34f.,163,2321,1
165,,,295,164,246,1
166,,,"64, 71",165,3047,1
167,,,46f.,166,4601,1
168,,,69,167,584,1
169,,,46,168,3766,1
170,,,261,169,2171,1
171,,,"164, 170",170,991,1
172,,,"9, 158",171,219,1
173,,,62,172,4370,1
174,,,288,174,2555,1
175,,,338,175,1204,1
176,,,295f.,176,2151,1
177,,,211,177,725,1
178,,,196,178,91,1
179,,,"8, 10, 14",179,594,1
180,,,256f.,180,474,1
181,,,61,181,167,1
182,,,80-86,182,4580,1
183,,,,183,2027,1
184,,,79,183,4599,1
185,,,"404, 407",184,698,1
186,,,109,185,4344,1
187,,,102,186,3538,1
188,,,"92, 119",187,3562,1
189,,,199,188,4569,1
190,,,90,189,476,1
191,,,367,190,123,1
192,,,81,191,4568,1
193,,,"268, 293",192,2430,1
194,,,255f.,193,96,1
195,,,"408, 411",194,744,1
196,,,216,195,4395,1
197,,,80f.,196,2135,1
198,,,67f.,197,2665,1
199,,,154-157,198,4461,1
200,,,220f.,198,4583,1
201,,,51,199,4603,1
202,,,"115, 136",200,618,1
203,,,88,201,2684,1
204,,,95,202,1122,1
205,,,43,203,637,1
206,,,51,204,2607,1
207,,,211,205,575,1
208,,,348,206,1230,1
209,,,376,208,1065,1
210,,,505,209,3077,1
211,,,"53, 67f.",210,23,1
212,,,"224f., 271",211,3358,1
213,,,55f.,213,514,1
214,,,,214,156,1
215,,,367,215,421,1
216,,,98f.,216,686,1
217,,,373f.,217,3949,1
218,,,229,218,3133,1
219,,,88f.,219,4592,1
220,,,74,220,4513,1
221,,,"150f., 204f.",221,615,1
222,,,5,222,711,1
223,,,"178-180, 187",223,566,1
224,,,"322, 327",224,247,1
225,,,279,225,4573,1
226,,,424f.,227,1126,1
227,,,"103, 305-308",228,190,1
228,,,377,229,205,1
229,,,263-266,230,262,1
230,,,70,231,44,1
231,,,"6, 20",232,2850,1
232,,,354,232,1205,1
233,,,214,233,549,1
234,,,237,234,2687,1
235,,,99f.,235,708,1
236,,,167,236,3480,1
237,,,432,237,1037,1
238,,,"67, 77",238,2927,1
239,,,47,240,4455,1
240,,,189,240,2044,1
241,,,116,241,3305,1
242,,,passim,242,1504,1
243,,,118-120,243,2252,1
244,,,"18, 87",244,2324,1
245,,,123,245,1101,1
246,,,92-93,246,2668,1
247,,,10,247,4355,1
248,,,"42, 66",247,4252,1
249,,,81-82,248,768,1
250,,,202,248,2688,1
251,,,241,248,1333,1
252,,,58,249,2230,1
253,,,136-140,250,112,1
254,,,88,251,765,1
255,,,56-57,252,1111,1
